epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1656950108387,2022-07-04T17.55.08.387,0.000,-0.965,-0.301,-0.174
1656950108398,2022-07-04T17.55.08.398,0.011,-0.967,-0.303,-0.188
1656950108408,2022-07-04T17.55.08.408,0.021,-0.959,-0.305,-0.194
1656950108418,2022-07-04T17.55.08.418,0.031,-0.956,-0.310,-0.189
1656950108428,2022-07-04T17.55.08.428,0.041,-0.962,-0.310,-0.177
1656950108439,2022-07-04T17.55.08.439,0.052,-0.961,-0.308,-0.179
1656950108447,2022-07-04T17.55.08.447,0.060,-0.955,-0.305,-0.185
1656950108458,2022-07-04T17.55.08.458,0.071,-0.950,-0.296,-0.184
1656950108468,2022-07-04T17.55.08.468,0.081,-0.957,-0.292,-0.174
1656950108478,2022-07-04T17.55.08.478,0.091,-0.954,-0.290,-0.176
1656950108488,2022-07-04T17.55.08.488,0.101,-0.951,-0.298,-0.180
1656950108499,2022-07-04T17.55.08.499,0.112,-0.948,-0.307,-0.175
1656950108509,2022-07-04T17.55.08.509,0.122,-0.948,-0.315,-0.175
1656950108519,2022-07-04T17.55.08.519,0.132,-0.956,-0.312,-0.172
1656950108529,2022-07-04T17.55.08.529,0.142,-0.959,-0.309,-0.178
1656950108540,2022-07-04T17.55.08.540,0.153,-0.954,-0.310,-0.176
1656950108550,2022-07-04T17.55.08.550,0.163,-0.958,-0.312,-0.174
1656950108560,2022-07-04T17.55.08.560,0.173,-0.960,-0.314,-0.168
1656950108569,2022-07-04T17.55.08.569,0.182,-0.955,-0.309,-0.171
1656950108579,2022-07-04T17.55.08.579,0.192,-0.953,-0.306,-0.167
1656950108589,2022-07-04T17.55.08.589,0.202,-0.960,-0.303,-0.153
1656950108600,2022-07-04T17.55.08.600,0.213,-0.958,-0.293,-0.165
1656950108610,2022-07-04T17.55.08.610,0.223,-0.942,-0.298,-0.181
1656950108620,2022-07-04T17.55.08.620,0.233,-0.949,-0.318,-0.169
1656950108630,2022-07-04T17.55.08.630,0.243,-0.952,-0.325,-0.160
1656950108641,2022-07-04T17.55.08.641,0.254,-0.953,-0.317,-0.166
1656950108651,2022-07-04T17.55.08.651,0.264,-0.954,-0.316,-0.167
1656950108661,2022-07-04T17.55.08.661,0.274,-0.948,-0.313,-0.172
1656950108671,2022-07-04T17.55.08.671,0.284,-0.949,-0.305,-0.173
1656950108682,2022-07-04T17.55.08.682,0.295,-0.947,-0.303,-0.173
1656950108691,2022-07-04T17.55.08.691,0.304,-0.948,-0.306,-0.172
1656950108701,2022-07-04T17.55.08.701,0.314,-0.953,-0.309,-0.168
1656950108711,2022-07-04T17.55.08.711,0.324,-0.956,-0.316,-0.166
1656950108721,2022-07-04T17.55.08.721,0.334,-0.958,-0.315,-0.169
1656950108732,2022-07-04T17.55.08.732,0.345,-0.953,-0.310,-0.174
1656950108742,2022-07-04T17.55.08.742,0.355,-0.947,-0.301,-0.177
1656950108752,2022-07-04T17.55.08.752,0.365,-0.953,-0.301,-0.178
1656950108762,2022-07-04T17.55.08.762,0.375,-0.961,-0.311,-0.171
1656950108773,2022-07-04T17.55.08.773,0.386,-0.957,-0.311,-0.167
1656950108783,2022-07-04T17.55.08.783,0.396,-0.960,-0.313,-0.163
1656950108793,2022-07-04T17.55.08.793,0.406,-0.963,-0.311,-0.169
1656950108802,2022-07-04T17.55.08.802,0.415,-0.964,-0.307,-0.173
1656950108812,2022-07-04T17.55.08.812,0.425,-0.959,-0.301,-0.171
1656950108822,2022-07-04T17.55.08.822,0.435,-0.955,-0.296,-0.170
1656950108833,2022-07-04T17.55.08.833,0.446,-0.952,-0.296,-0.174
1656950108843,2022-07-04T17.55.08.843,0.456,-0.950,-0.297,-0.174
1656950108853,2022-07-04T17.55.08.853,0.466,-0.946,-0.305,-0.169
1656950108863,2022-07-04T17.55.08.863,0.476,-0.954,-0.312,-0.167
1656950108874,2022-07-04T17.55.08.874,0.487,-0.958,-0.314,-0.168
1656950108884,2022-07-04T17.55.08.884,0.497,-0.955,-0.319,-0.167
1656950108894,2022-07-04T17.55.08.894,0.507,-0.950,-0.315,-0.169
1656950108904,2022-07-04T17.55.08.904,0.517,-0.948,-0.311,-0.165
1656950108915,2022-07-04T17.55.08.915,0.528,-0.952,-0.310,-0.166
1656950108923,2022-07-04T17.55.08.923,0.536,-0.944,-0.303,-0.174
1656950108934,2022-07-04T17.55.08.934,0.547,-0.948,-0.302,-0.167
1656950108944,2022-07-04T17.55.08.944,0.557,-0.951,-0.307,-0.167
1656950108954,2022-07-04T17.55.08.954,0.567,-0.949,-0.308,-0.172
1656950108964,2022-07-04T17.55.08.964,0.577,-0.952,-0.320,-0.166
1656950108975,2022-07-04T17.55.08.975,0.588,-0.951,-0.320,-0.169
1656950108985,2022-07-04T17.55.08.985,0.598,-0.955,-0.319,-0.170
1656950108995,2022-07-04T17.55.08.995,0.608,-0.959,-0.314,-0.170
1656950109005,2022-07-04T17.55.09.005,0.618,-0.955,-0.312,-0.173
1656950109016,2022-07-04T17.55.09.016,0.629,-0.956,-0.310,-0.167
1656950109026,2022-07-04T17.55.09.026,0.639,-0.962,-0.302,-0.162
1656950109036,2022-07-04T17.55.09.036,0.649,-0.962,-0.299,-0.166
1656950109045,2022-07-04T17.55.09.045,0.658,-0.953,-0.294,-0.176
1656950109055,2022-07-04T17.55.09.055,0.668,-0.949,-0.300,-0.176
1656950109066,2022-07-04T17.55.09.066,0.679,-0.960,-0.309,-0.166
1656950109076,2022-07-04T17.55.09.076,0.689,-0.956,-0.312,-0.170
1656950109086,2022-07-04T17.55.09.086,0.699,-0.952,-0.318,-0.170
