epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1652710201078,2022-05-16T16.10.01.078,0.000,-0.855,-0.546,0.125
1652710201088,2022-05-16T16.10.01.088,0.010,-0.864,-0.549,0.127
1652710201099,2022-05-16T16.10.01.099,0.021,-0.865,-0.548,0.127
1652710201109,2022-05-16T16.10.01.109,0.031,-0.862,-0.547,0.125
1652710201119,2022-05-16T16.10.01.119,0.041,-0.862,-0.547,0.127
1652710201129,2022-05-16T16.10.01.129,0.051,-0.862,-0.547,0.129
1652710201140,2022-05-16T16.10.01.140,0.062,-0.858,-0.547,0.125
1652710201150,2022-05-16T16.10.01.150,0.072,-0.856,-0.549,0.122
1652710201160,2022-05-16T16.10.01.160,0.082,-0.854,-0.550,0.122
1652710201170,2022-05-16T16.10.01.170,0.092,-0.856,-0.551,0.123
1652710201181,2022-05-16T16.10.01.181,0.103,-0.854,-0.551,0.124
1652710201189,2022-05-16T16.10.01.189,0.111,-0.857,-0.552,0.123
1652710201200,2022-05-16T16.10.01.200,0.122,-0.862,-0.547,0.126
1652710201210,2022-05-16T16.10.01.210,0.132,-0.863,-0.546,0.134
1652710201220,2022-05-16T16.10.01.220,0.142,-0.864,-0.549,0.132
1652710201230,2022-05-16T16.10.01.230,0.152,-0.861,-0.548,0.123
1652710201241,2022-05-16T16.10.01.241,0.163,-0.867,-0.545,0.126
1652710201251,2022-05-16T16.10.01.251,0.173,-0.868,-0.542,0.130
1652710201261,2022-05-16T16.10.01.261,0.183,-0.862,-0.542,0.128
1652710201271,2022-05-16T16.10.01.271,0.193,-0.858,-0.545,0.124
1652710201282,2022-05-16T16.10.01.282,0.204,-0.859,-0.545,0.123
1652710201292,2022-05-16T16.10.01.292,0.214,-0.859,-0.550,0.128
1652710201302,2022-05-16T16.10.01.302,0.224,-0.858,-0.550,0.125
1652710201311,2022-05-16T16.10.01.311,0.233,-0.858,-0.550,0.128
1652710201321,2022-05-16T16.10.01.321,0.243,-0.860,-0.550,0.128
1652710201331,2022-05-16T16.10.01.331,0.253,-0.864,-0.554,0.131
1652710201342,2022-05-16T16.10.01.342,0.264,-0.863,-0.556,0.126
1652710201352,2022-05-16T16.10.01.352,0.274,-0.861,-0.554,0.127
1652710201362,2022-05-16T16.10.01.362,0.284,-0.862,-0.548,0.125
1652710201373,2022-05-16T16.10.01.373,0.295,-0.856,-0.545,0.126
1652710201383,2022-05-16T16.10.01.383,0.305,-0.852,-0.546,0.129
1652710201393,2022-05-16T16.10.01.393,0.315,-0.854,-0.542,0.126
1652710201403,2022-05-16T16.10.01.403,0.325,-0.858,-0.543,0.125
1652710201414,2022-05-16T16.10.01.414,0.336,-0.865,-0.544,0.125
1652710201422,2022-05-16T16.10.01.422,0.344,-0.863,-0.542,0.127
1652710201433,2022-05-16T16.10.01.433,0.355,-0.864,-0.544,0.126
1652710201443,2022-05-16T16.10.01.443,0.365,-0.867,-0.545,0.126
1652710201453,2022-05-16T16.10.01.453,0.375,-0.871,-0.547,0.126
1652710201463,2022-05-16T16.10.01.463,0.385,-0.872,-0.543,0.124
1652710201474,2022-05-16T16.10.01.474,0.396,-0.868,-0.545,0.126
1652710201484,2022-05-16T16.10.01.484,0.406,-0.863,-0.547,0.124
1652710201494,2022-05-16T16.10.01.494,0.416,-0.860,-0.549,0.124
1652710201504,2022-05-16T16.10.01.504,0.426,-0.857,-0.552,0.124
1652710201515,2022-05-16T16.10.01.515,0.437,-0.858,-0.554,0.126
1652710201525,2022-05-16T16.10.01.525,0.447,-0.856,-0.555,0.127
1652710201535,2022-05-16T16.10.01.535,0.457,-0.856,-0.553,0.129
1652710201544,2022-05-16T16.10.01.544,0.466,-0.854,-0.550,0.124
1652710201554,2022-05-16T16.10.01.554,0.476,-0.854,-0.548,0.124
1652710201564,2022-05-16T16.10.01.564,0.486,-0.857,-0.549,0.125
1652710201575,2022-05-16T16.10.01.575,0.497,-0.862,-0.547,0.125
1652710201585,2022-05-16T16.10.01.585,0.507,-0.859,-0.548,0.125
1652710201595,2022-05-16T16.10.01.595,0.517,-0.857,-0.549,0.127
1652710201605,2022-05-16T16.10.01.605,0.527,-0.860,-0.550,0.127
1652710201616,2022-05-16T16.10.01.616,0.538,-0.858,-0.552,0.129
1652710201626,2022-05-16T16.10.01.626,0.548,-0.861,-0.553,0.131
1652710201636,2022-05-16T16.10.01.636,0.558,-0.863,-0.551,0.134
1652710201646,2022-05-16T16.10.01.646,0.568,-0.862,-0.552,0.130
1652710201657,2022-05-16T16.10.01.657,0.579,-0.862,-0.548,0.128
1652710201665,2022-05-16T16.10.01.665,0.587,-0.862,-0.546,0.123
1652710201676,2022-05-16T16.10.01.676,0.598,-0.861,-0.543,0.125
1652710201686,2022-05-16T16.10.01.686,0.608,-0.861,-0.542,0.126
1652710201696,2022-05-16T16.10.01.696,0.618,-0.862,-0.544,0.123
1652710201706,2022-05-16T16.10.01.706,0.628,-0.864,-0.542,0.122
1652710201717,2022-05-16T16.10.01.717,0.639,-0.862,-0.545,0.124
1652710201727,2022-05-16T16.10.01.727,0.649,-0.861,-0.550,0.127
1652710201737,2022-05-16T16.10.01.737,0.659,-0.861,-0.553,0.130
1652710201748,2022-05-16T16.10.01.748,0.670,-0.864,-0.550,0.125
1652710201758,2022-05-16T16.10.01.758,0.680,-0.862,-0.550,0.125
1652710201768,2022-05-16T16.10.01.768,0.690,-0.859,-0.550,0.128
1652710201778,2022-05-16T16.10.01.778,0.700,-0.859,-0.548,0.128
1652710201787,2022-05-16T16.10.01.787,0.709,-0.862,-0.549,0.129
1652710201797,2022-05-16T16.10.01.797,0.719,-0.858,-0.545,0.127
1652710201808,2022-05-16T16.10.01.808,0.730,-0.857,-0.547,0.129
1652710201818,2022-05-16T16.10.01.818,0.740,-0.857,-0.546,0.131
1652710201828,2022-05-16T16.10.01.828,0.750,-0.862,-0.546,0.129
1652710201838,2022-05-16T16.10.01.838,0.760,-0.866,-0.546,0.134
1652710201849,2022-05-16T16.10.01.849,0.771,-0.865,-0.545,0.133
1652710201859,2022-05-16T16.10.01.859,0.781,-0.859,-0.546,0.126
1652710201869,2022-05-16T16.10.01.869,0.791,-0.857,-0.548,0.125
1652710201879,2022-05-16T16.10.01.879,0.801,-0.856,-0.551,0.128
1652710201890,2022-05-16T16.10.01.890,0.812,-0.857,-0.549,0.129
1652710201900,2022-05-16T16.10.01.900,0.822,-0.858,-0.551,0.128
1652710201909,2022-05-16T16.10.01.909,0.831,-0.858,-0.551,0.124
1652710201919,2022-05-16T16.10.01.919,0.841,-0.856,-0.548,0.123
1652710201929,2022-05-16T16.10.01.929,0.851,-0.858,-0.549,0.128
1652710201939,2022-05-16T16.10.01.939,0.861,-0.861,-0.551,0.128
1652710201950,2022-05-16T16.10.01.950,0.872,-0.860,-0.550,0.126
1652710201960,2022-05-16T16.10.01.960,0.882,-0.861,-0.549,0.128
1652710201970,2022-05-16T16.10.01.970,0.892,-0.862,-0.547,0.127
1652710201980,2022-05-16T16.10.01.980,0.902,-0.861,-0.545,0.128
