epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1652710200951,2022-05-16T16.10.00.951,0.000,-1.037,1.220,0.183
1652710200960,2022-05-16T16.10.00.960,0.009,-0.854,1.037,0.305
1652710200970,2022-05-16T16.10.00.970,0.019,-0.305,0.793,0.000
1652710200980,2022-05-16T16.10.00.980,0.029,-0.183,0.854,0.183
1652710200989,2022-05-16T16.10.00.989,0.038,-0.244,0.854,0.122
1652710200999,2022-05-16T16.10.00.999,0.048,-0.183,1.037,0.061
1652710201010,2022-05-16T16.10.01.010,0.059,-0.366,0.854,0.122
1652710201020,2022-05-16T16.10.01.020,0.069,-0.244,0.671,0.122
1652710201029,2022-05-16T16.10.01.029,0.078,0.000,0.793,0.000
1652710201039,2022-05-16T16.10.01.039,0.088,0.000,0.854,-0.122
1652710201049,2022-05-16T16.10.01.049,0.098,-0.244,0.732,-0.122
1652710201059,2022-05-16T16.10.01.059,0.108,-0.305,0.793,0.000
1652710201068,2022-05-16T16.10.01.068,0.117,-0.305,0.793,0.061
1652710201079,2022-05-16T16.10.01.079,0.128,-0.549,0.854,0.000
1652710201089,2022-05-16T16.10.01.089,0.138,-0.671,0.854,0.061
1652710201098,2022-05-16T16.10.01.098,0.147,-0.732,0.854,0.122
1652710201108,2022-05-16T16.10.01.108,0.157,-0.732,0.854,0.183
1652710201118,2022-05-16T16.10.01.118,0.167,-0.610,0.976,0.244
1652710201128,2022-05-16T16.10.01.128,0.177,-0.610,1.037,0.305
1652710201137,2022-05-16T16.10.01.137,0.186,-0.732,1.098,0.244
1652710201147,2022-05-16T16.10.01.147,0.196,-0.732,1.098,0.183
1652710201158,2022-05-16T16.10.01.158,0.207,-0.793,0.976,0.244
1652710201168,2022-05-16T16.10.01.168,0.217,-0.732,0.915,0.183
1652710201177,2022-05-16T16.10.01.177,0.226,-0.549,0.854,-0.061
1652710201187,2022-05-16T16.10.01.187,0.236,-0.244,0.793,-0.061
1652710201197,2022-05-16T16.10.01.197,0.246,-0.183,0.732,0.000
1652710201207,2022-05-16T16.10.01.207,0.256,-0.183,0.732,0.000
1652710201216,2022-05-16T16.10.01.216,0.265,0.122,0.793,0.000
1652710201226,2022-05-16T16.10.01.226,0.275,0.244,0.793,0.061
1652710201237,2022-05-16T16.10.01.237,0.286,0.183,0.732,0.122
1652710201245,2022-05-16T16.10.01.245,0.294,-0.061,0.915,0.183
