epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1652711635216,2022-05-16T16.33.55.216,0.000,-1.890,0.122,-0.366
1652711635226,2022-05-16T16.33.55.226,0.010,-2.195,0.183,-0.549
1652711635237,2022-05-16T16.33.55.237,0.021,-1.646,0.122,-0.305
1652711635247,2022-05-16T16.33.55.247,0.031,-0.183,-0.305,-0.244
1652711635257,2022-05-16T16.33.55.257,0.041,1.037,-0.610,-0.366
1652711635267,2022-05-16T16.33.55.267,0.051,1.159,-0.122,-0.427
1652711635278,2022-05-16T16.33.55.278,0.062,1.402,0.183,-0.610
1652711635288,2022-05-16T16.33.55.288,0.072,2.012,-0.244,-0.427
1652711635298,2022-05-16T16.33.55.298,0.082,1.280,0.244,-0.427
1652711635308,2022-05-16T16.33.55.308,0.092,0.427,0.488,-0.366
1652711635317,2022-05-16T16.33.55.317,0.101,0.366,0.000,-0.122
1652711635328,2022-05-16T16.33.55.328,0.112,0.366,-0.305,-0.061
1652711635338,2022-05-16T16.33.55.338,0.122,-0.183,-0.366,-0.061
1652711635348,2022-05-16T16.33.55.348,0.132,-1.037,-0.122,-0.183
1652711635358,2022-05-16T16.33.55.358,0.142,-0.915,-0.122,-0.366
1652711635369,2022-05-16T16.33.55.369,0.153,-0.854,-0.061,-0.427
1652711635379,2022-05-16T16.33.55.379,0.163,-0.549,0.061,-0.610
1652711635389,2022-05-16T16.33.55.389,0.173,0.061,-0.244,-0.793
1652711635399,2022-05-16T16.33.55.399,0.183,0.183,-0.244,-0.732
1652711635410,2022-05-16T16.33.55.410,0.194,0.244,-0.244,-0.610
1652711635420,2022-05-16T16.33.55.420,0.204,-0.183,-0.366,-0.488
1652711635430,2022-05-16T16.33.55.430,0.214,-0.610,-0.488,-0.183
1652711635439,2022-05-16T16.33.55.439,0.223,-0.427,-0.427,-0.122
1652711635449,2022-05-16T16.33.55.449,0.233,-0.488,-0.854,0.000
