epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1652711638112,2022-05-16T16.33.58.112,0.000,-3.537,0.610,3.171
1652711638122,2022-05-16T16.33.58.122,0.010,-3.171,0.427,2.988
1652711638132,2022-05-16T16.33.58.132,0.020,-2.866,0.061,1.280
1652711638141,2022-05-16T16.33.58.141,0.029,-1.159,-0.732,-0.122
1652711638152,2022-05-16T16.33.58.152,0.040,0.183,-0.610,-0.488
1652711638162,2022-05-16T16.33.58.162,0.050,1.341,-0.549,-0.427
1652711638172,2022-05-16T16.33.58.172,0.060,2.195,-0.366,-0.610
1652711638182,2022-05-16T16.33.58.182,0.070,2.134,-0.549,-0.854
1652711638193,2022-05-16T16.33.58.193,0.081,0.732,-0.366,-1.037
1652711638203,2022-05-16T16.33.58.203,0.091,-1.037,-0.183,-1.098
1652711638212,2022-05-16T16.33.58.212,0.100,-1.768,-0.244,-0.732
1652711638222,2022-05-16T16.33.58.222,0.110,-1.646,-0.366,-0.244
1652711638232,2022-05-16T16.33.58.232,0.120,-1.098,-0.305,0.061
1652711638242,2022-05-16T16.33.58.242,0.130,-0.366,0.183,0.244
1652711638253,2022-05-16T16.33.58.253,0.141,0.366,0.122,0.122
1652711638263,2022-05-16T16.33.58.263,0.151,1.463,-0.244,0.061
1652711638273,2022-05-16T16.33.58.273,0.161,2.622,-0.854,-0.183
1652711638282,2022-05-16T16.33.58.282,0.170,2.256,-0.915,-0.366
1652711638292,2022-05-16T16.33.58.292,0.180,1.524,-0.549,-0.183
1652711638302,2022-05-16T16.33.58.302,0.190,0.732,-0.366,0.122
1652711638313,2022-05-16T16.33.58.313,0.201,-0.061,0.000,0.427
1652711638323,2022-05-16T16.33.58.323,0.211,-0.366,0.366,0.366
1652711638333,2022-05-16T16.33.58.333,0.221,0.244,0.488,0.244
1652711638342,2022-05-16T16.33.58.342,0.230,1.037,0.183,0.122
1652711638352,2022-05-16T16.33.58.352,0.240,0.915,0.244,0.061
1652711638362,2022-05-16T16.33.58.362,0.250,1.098,-0.061,0.244
1652711638373,2022-05-16T16.33.58.373,0.261,0.976,-0.183,0.610
1652711638383,2022-05-16T16.33.58.383,0.271,-0.061,0.244,0.671
1652711638393,2022-05-16T16.33.58.393,0.281,-0.793,0.000,0.610
1652711638403,2022-05-16T16.33.58.403,0.291,-1.159,-0.305,0.610
1652711638412,2022-05-16T16.33.58.412,0.300,-1.159,-0.366,0.366
1652711638423,2022-05-16T16.33.58.423,0.311,-0.183,-0.244,0.061
1652711638433,2022-05-16T16.33.58.433,0.321,0.793,0.122,-0.183
1652711638443,2022-05-16T16.33.58.443,0.331,1.402,0.427,-0.427
1652711638453,2022-05-16T16.33.58.453,0.341,2.256,0.427,-0.671
1652711638464,2022-05-16T16.33.58.464,0.352,3.232,0.183,-0.732
1652711638472,2022-05-16T16.33.58.472,0.360,2.805,0.244,-0.427
1652711638483,2022-05-16T16.33.58.483,0.371,1.220,0.366,-0.061
1652711638493,2022-05-16T16.33.58.493,0.381,-0.793,0.427,0.061
1652711638503,2022-05-16T16.33.58.503,0.391,-1.951,0.366,-0.122
1652711638513,2022-05-16T16.33.58.513,0.401,-1.829,0.183,-0.122
1652711638524,2022-05-16T16.33.58.524,0.412,-1.220,-0.122,0.183
1652711638534,2022-05-16T16.33.58.534,0.422,-0.793,-0.244,0.183
1652711638543,2022-05-16T16.33.58.543,0.431,0.427,-0.061,0.000
1652711638553,2022-05-16T16.33.58.553,0.441,2.378,0.000,-0.183
1652711638563,2022-05-16T16.33.58.563,0.451,3.293,-0.122,-0.122
1652711638573,2022-05-16T16.33.58.573,0.461,2.988,-0.793,0.061
1652711638584,2022-05-16T16.33.58.584,0.472,1.768,-0.488,0.122
1652711638594,2022-05-16T16.33.58.594,0.482,0.061,0.183,0.366
1652711638603,2022-05-16T16.33.58.603,0.491,-1.646,0.427,0.488
1652711638613,2022-05-16T16.33.58.613,0.501,-2.134,0.305,0.366
1652711638623,2022-05-16T16.33.58.623,0.511,-1.646,0.244,0.366
1652711638633,2022-05-16T16.33.58.633,0.521,-1.098,0.305,0.732
1652711638644,2022-05-16T16.33.58.644,0.532,-0.122,0.122,0.976
1652711638654,2022-05-16T16.33.58.654,0.542,0.244,-0.122,1.037
1652711638664,2022-05-16T16.33.58.664,0.552,0.976,0.061,0.976
1652711638673,2022-05-16T16.33.58.673,0.561,1.768,0.366,0.854
1652711638683,2022-05-16T16.33.58.683,0.571,1.829,-0.122,0.488
1652711638694,2022-05-16T16.33.58.694,0.582,1.707,-0.244,0.183
1652711638704,2022-05-16T16.33.58.704,0.592,1.402,-0.122,0.122
1652711638714,2022-05-16T16.33.58.714,0.602,0.793,0.061,0.122
1652711638724,2022-05-16T16.33.58.724,0.612,-0.183,0.122,0.183
1652711638733,2022-05-16T16.33.58.733,0.621,-0.976,-0.122,0.305
1652711638743,2022-05-16T16.33.58.743,0.631,-0.854,-0.549,0.610
1652711638754,2022-05-16T16.33.58.754,0.642,-1.159,-0.305,1.037
1652711638764,2022-05-16T16.33.58.764,0.652,-1.463,0.061,1.098
1652711638774,2022-05-16T16.33.58.774,0.662,-1.098,0.061,0.854
1652711638784,2022-05-16T16.33.58.784,0.672,-0.427,-0.061,0.732
1652711638795,2022-05-16T16.33.58.795,0.683,-0.305,-0.061,0.671
1652711638803,2022-05-16T16.33.58.803,0.691,0.061,0.061,0.427
1652711638814,2022-05-16T16.33.58.814,0.702,0.305,0.183,0.183
1652711638824,2022-05-16T16.33.58.824,0.712,0.549,-0.122,-0.061
1652711638834,2022-05-16T16.33.58.834,0.722,0.488,-0.305,-0.122
1652711638844,2022-05-16T16.33.58.844,0.732,0.061,-0.366,-0.061
1652711638855,2022-05-16T16.33.58.855,0.743,-1.037,-0.427,0.183
1652711638863,2022-05-16T16.33.58.863,0.751,-1.951,-0.732,0.427
1652711638874,2022-05-16T16.33.58.874,0.762,-2.622,-0.610,0.488
1652711638884,2022-05-16T16.33.58.884,0.772,-2.500,-0.061,0.427
1652711638894,2022-05-16T16.33.58.894,0.782,-1.646,-0.244,0.305
1652711638904,2022-05-16T16.33.58.904,0.792,-0.427,-0.305,0.244
1652711638915,2022-05-16T16.33.58.915,0.803,1.098,-0.427,0.000
