epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1658327768660,2022-07-20T16.36.08.660,0.000,-0.966,-0.318,0.028
1658327768670,2022-07-20T16.36.08.670,0.010,-0.940,-0.316,0.011
1658327768681,2022-07-20T16.36.08.681,0.021,-0.941,-0.335,0.050
1658327768691,2022-07-20T16.36.08.691,0.031,-0.954,-0.319,0.043
1658327768701,2022-07-20T16.36.08.701,0.041,-0.941,-0.299,-0.004
1658327768711,2022-07-20T16.36.08.711,0.051,-0.934,-0.321,0.000
1658327768722,2022-07-20T16.36.08.722,0.062,-0.941,-0.326,0.025
1658327768732,2022-07-20T16.36.08.732,0.072,-0.941,-0.319,0.036
1658327768742,2022-07-20T16.36.08.742,0.082,-0.934,-0.308,0.017
1658327768752,2022-07-20T16.36.08.752,0.092,-0.944,-0.322,0.029
1658327768763,2022-07-20T16.36.08.763,0.103,-0.950,-0.326,0.037
1658327768773,2022-07-20T16.36.08.773,0.113,-0.927,-0.330,0.027
1658327768783,2022-07-20T16.36.08.783,0.123,-0.912,-0.339,0.025
1658327768792,2022-07-20T16.36.08.792,0.132,-0.927,-0.334,0.035
1658327768802,2022-07-20T16.36.08.802,0.142,-0.938,-0.327,0.039
1658327768812,2022-07-20T16.36.08.812,0.152,-0.949,-0.317,0.038
1658327768823,2022-07-20T16.36.08.823,0.163,-0.962,-0.295,0.031
1658327768833,2022-07-20T16.36.08.833,0.173,-0.992,-0.229,0.055
1658327768843,2022-07-20T16.36.08.843,0.183,-1.044,-0.205,0.115
1658327768853,2022-07-20T16.36.08.853,0.193,-1.034,-0.279,0.037
1658327768864,2022-07-20T16.36.08.864,0.204,-1.018,-0.352,-0.016
1658327768874,2022-07-20T16.36.08.874,0.214,-1.042,-0.376,0.092
1658327768884,2022-07-20T16.36.08.884,0.224,-0.983,-0.323,0.098
1658327768894,2022-07-20T16.36.08.894,0.234,-0.927,-0.288,0.059
1658327768903,2022-07-20T16.36.08.903,0.243,-0.944,-0.300,0.057
1658327768913,2022-07-20T16.36.08.913,0.253,-0.983,-0.294,0.064
1658327768924,2022-07-20T16.36.08.924,0.264,-1.005,-0.274,0.084
1658327768934,2022-07-20T16.36.08.934,0.274,-0.983,-0.253,0.048
1658327768944,2022-07-20T16.36.08.944,0.284,-0.960,-0.266,0.024
1658327768954,2022-07-20T16.36.08.954,0.294,-0.969,-0.278,0.037
1658327768965,2022-07-20T16.36.08.965,0.305,-0.968,-0.294,0.034
1658327768975,2022-07-20T16.36.08.975,0.315,-0.948,-0.314,0.016
1658327768985,2022-07-20T16.36.08.985,0.325,-0.943,-0.325,0.017
1658327768995,2022-07-20T16.36.08.995,0.335,-0.953,-0.334,0.030
1658327769006,2022-07-20T16.36.09.006,0.346,-0.954,-0.342,0.020
1658327769016,2022-07-20T16.36.09.016,0.356,-0.964,-0.342,0.024
1658327769025,2022-07-20T16.36.09.025,0.365,-0.966,-0.331,0.020
1658327769035,2022-07-20T16.36.09.035,0.375,-0.956,-0.319,0.013
1658327769045,2022-07-20T16.36.09.045,0.385,-0.960,-0.309,0.028
1658327769056,2022-07-20T16.36.09.056,0.396,-0.964,-0.296,0.040
1658327769066,2022-07-20T16.36.09.066,0.406,-0.958,-0.289,0.033
1658327769076,2022-07-20T16.36.09.076,0.416,-0.962,-0.292,0.038
1658327769086,2022-07-20T16.36.09.086,0.426,-0.972,-0.298,0.044
1658327769097,2022-07-20T16.36.09.097,0.437,-0.970,-0.305,0.036
1658327769107,2022-07-20T16.36.09.107,0.447,-0.967,-0.314,0.035
1658327769117,2022-07-20T16.36.09.117,0.457,-0.973,-0.320,0.051
1658327769127,2022-07-20T16.36.09.127,0.467,-0.966,-0.322,0.052
1658327769138,2022-07-20T16.36.09.138,0.478,-0.956,-0.314,0.047
1658327769146,2022-07-20T16.36.09.146,0.486,-0.962,-0.306,0.053
1658327769157,2022-07-20T16.36.09.157,0.497,-0.968,-0.296,0.056
1658327769167,2022-07-20T16.36.09.167,0.507,-0.969,-0.287,0.058
1658327769177,2022-07-20T16.36.09.177,0.517,-0.964,-0.281,0.052
1658327769187,2022-07-20T16.36.09.187,0.527,-0.959,-0.290,0.052
1658327769198,2022-07-20T16.36.09.198,0.538,-0.967,-0.294,0.057
1658327769208,2022-07-20T16.36.09.208,0.548,-0.977,-0.295,0.053
1658327769218,2022-07-20T16.36.09.218,0.558,-0.978,-0.300,0.055
1658327769228,2022-07-20T16.36.09.228,0.568,-0.980,-0.298,0.046
1658327769239,2022-07-20T16.36.09.239,0.579,-0.983,-0.295,0.041
1658327769249,2022-07-20T16.36.09.249,0.589,-0.990,-0.292,0.032
1658327769259,2022-07-20T16.36.09.259,0.599,-0.994,-0.292,0.035
1658327769268,2022-07-20T16.36.09.268,0.608,-0.993,-0.292,0.038
1658327769278,2022-07-20T16.36.09.278,0.618,-0.982,-0.292,0.035
1658327769288,2022-07-20T16.36.09.288,0.628,-0.974,-0.299,0.038
1658327769299,2022-07-20T16.36.09.299,0.639,-0.964,-0.303,0.034
1658327769309,2022-07-20T16.36.09.309,0.649,-0.963,-0.306,0.039
1658327769319,2022-07-20T16.36.09.319,0.659,-0.959,-0.308,0.042
1658327769329,2022-07-20T16.36.09.329,0.669,-0.956,-0.303,0.035
1658327769340,2022-07-20T16.36.09.340,0.680,-0.950,-0.298,0.033
1658327769350,2022-07-20T16.36.09.350,0.690,-0.957,-0.300,0.045
1658327769360,2022-07-20T16.36.09.360,0.700,-0.956,-0.296,0.036
1658327769370,2022-07-20T16.36.09.370,0.710,-0.964,-0.293,0.028
1658327769381,2022-07-20T16.36.09.381,0.721,-0.986,-0.301,0.039
1658327769390,2022-07-20T16.36.09.390,0.730,-0.985,-0.309,0.036
1658327769400,2022-07-20T16.36.09.400,0.740,-0.982,-0.316,0.039
1658327769410,2022-07-20T16.36.09.410,0.750,-0.977,-0.324,0.041
1658327769420,2022-07-20T16.36.09.420,0.760,-0.979,-0.326,0.048
1658327769431,2022-07-20T16.36.09.431,0.771,-0.971,-0.324,0.051
1658327769441,2022-07-20T16.36.09.441,0.781,-0.958,-0.314,0.049
1658327769451,2022-07-20T16.36.09.451,0.791,-0.954,-0.304,0.053
1658327769461,2022-07-20T16.36.09.461,0.801,-0.951,-0.301,0.050
1658327769472,2022-07-20T16.36.09.472,0.812,-0.957,-0.303,0.046
1658327769482,2022-07-20T16.36.09.482,0.822,-0.954,-0.303,0.045
1658327769492,2022-07-20T16.36.09.492,0.832,-0.950,-0.296,0.047
1658327769502,2022-07-20T16.36.09.502,0.842,-0.940,-0.295,0.032
1658327769511,2022-07-20T16.36.09.511,0.851,-0.943,-0.300,0.026
1658327769521,2022-07-20T16.36.09.521,0.861,-0.961,-0.309,0.033
1658327769532,2022-07-20T16.36.09.532,0.872,-0.973,-0.315,0.036
1658327769542,2022-07-20T16.36.09.542,0.882,-0.975,-0.310,0.029
1658327769552,2022-07-20T16.36.09.552,0.892,-0.976,-0.310,0.028
1658327769562,2022-07-20T16.36.09.562,0.902,-0.981,-0.312,0.030
1658327769573,2022-07-20T16.36.09.573,0.913,-0.986,-0.310,0.030
1658327769583,2022-07-20T16.36.09.583,0.923,-0.988,-0.294,0.033
1658327769593,2022-07-20T16.36.09.593,0.933,-0.987,-0.292,0.037
1658327769603,2022-07-20T16.36.09.603,0.943,-0.977,-0.296,0.034
1658327769614,2022-07-20T16.36.09.614,0.954,-0.976,-0.295,0.039
1658327769624,2022-07-20T16.36.09.624,0.964,-0.971,-0.291,0.042
1658327769633,2022-07-20T16.36.09.633,0.973,-0.967,-0.291,0.044
1658327769643,2022-07-20T16.36.09.643,0.983,-0.968,-0.294,0.044
1658327769653,2022-07-20T16.36.09.653,0.993,-0.968,-0.301,0.039
1658327769663,2022-07-20T16.36.09.663,1.003,-0.963,-0.304,0.039
1658327769674,2022-07-20T16.36.09.674,1.014,-0.965,-0.297,0.038
1658327769684,2022-07-20T16.36.09.684,1.024,-0.965,-0.295,0.042
1658327769694,2022-07-20T16.36.09.694,1.034,-0.970,-0.292,0.041
1658327769704,2022-07-20T16.36.09.704,1.044,-0.978,-0.293,0.043
1658327769715,2022-07-20T16.36.09.715,1.055,-0.977,-0.289,0.031
1658327769725,2022-07-20T16.36.09.725,1.065,-0.982,-0.291,0.039
1658327769735,2022-07-20T16.36.09.735,1.075,-0.987,-0.302,0.044
1658327769745,2022-07-20T16.36.09.745,1.085,-0.985,-0.306,0.047
1658327769754,2022-07-20T16.36.09.754,1.094,-0.978,-0.310,0.048
1658327769765,2022-07-20T16.36.09.765,1.105,-0.964,-0.310,0.041
1658327769775,2022-07-20T16.36.09.775,1.115,-0.959,-0.309,0.045
1658327769785,2022-07-20T16.36.09.785,1.125,-0.965,-0.309,0.047
1658327769795,2022-07-20T16.36.09.795,1.135,-0.958,-0.308,0.048
1658327769806,2022-07-20T16.36.09.806,1.146,-0.951,-0.301,0.040
1658327769816,2022-07-20T16.36.09.816,1.156,-0.946,-0.298,0.034
1658327769826,2022-07-20T16.36.09.826,1.166,-0.951,-0.301,0.037
1658327769836,2022-07-20T16.36.09.836,1.176,-0.962,-0.302,0.042
1658327769847,2022-07-20T16.36.09.847,1.187,-0.968,-0.301,0.033
1658327769857,2022-07-20T16.36.09.857,1.197,-0.966,-0.298,0.030
1658327769867,2022-07-20T16.36.09.867,1.207,-0.969,-0.305,0.043
1658327769876,2022-07-20T16.36.09.876,1.216,-0.964,-0.308,0.040
1658327769886,2022-07-20T16.36.09.886,1.226,-0.970,-0.310,0.042
1658327769896,2022-07-20T16.36.09.896,1.236,-0.973,-0.309,0.044
1658327769907,2022-07-20T16.36.09.907,1.247,-0.972,-0.299,0.042
1658327769917,2022-07-20T16.36.09.917,1.257,-0.979,-0.298,0.044
1658327769927,2022-07-20T16.36.09.927,1.267,-0.979,-0.300,0.041
1658327769937,2022-07-20T16.36.09.937,1.277,-0.980,-0.308,0.039
1658327769948,2022-07-20T16.36.09.948,1.288,-0.977,-0.307,0.042
1658327769958,2022-07-20T16.36.09.958,1.298,-0.967,-0.300,0.042
1658327769968,2022-07-20T16.36.09.968,1.308,-0.964,-0.298,0.043
1658327769978,2022-07-20T16.36.09.978,1.318,-0.962,-0.294,0.035
