epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1658327772452,2022-07-20T16.36.12.452,0.000,-0.920,0.297,-0.027
1658327772462,2022-07-20T16.36.12.462,0.010,-0.926,0.298,-0.031
1658327772471,2022-07-20T16.36.12.471,0.019,-0.925,0.299,-0.031
1658327772481,2022-07-20T16.36.12.481,0.029,-0.927,0.295,-0.029
1658327772492,2022-07-20T16.36.12.492,0.040,-0.927,0.295,-0.028
1658327772502,2022-07-20T16.36.12.502,0.050,-0.928,0.297,-0.030
1658327772512,2022-07-20T16.36.12.512,0.060,-0.933,0.301,-0.029
1658327772522,2022-07-20T16.36.12.522,0.070,-0.934,0.302,-0.028
1658327772531,2022-07-20T16.36.12.531,0.079,-0.934,0.304,-0.026
1658327772542,2022-07-20T16.36.12.542,0.090,-0.932,0.307,-0.029
1658327772552,2022-07-20T16.36.12.552,0.100,-0.929,0.309,-0.030
1658327772562,2022-07-20T16.36.12.562,0.110,-0.929,0.308,-0.028
1658327772572,2022-07-20T16.36.12.572,0.120,-0.925,0.305,-0.029
1658327772583,2022-07-20T16.36.12.583,0.131,-0.922,0.301,-0.031
1658327772593,2022-07-20T16.36.12.593,0.141,-0.919,0.298,-0.034
1658327772602,2022-07-20T16.36.12.602,0.150,-0.919,0.297,-0.036
1658327772612,2022-07-20T16.36.12.612,0.160,-0.924,0.296,-0.034
1658327772622,2022-07-20T16.36.12.622,0.170,-0.927,0.299,-0.034
1658327772632,2022-07-20T16.36.12.632,0.180,-0.929,0.300,-0.034
1658327772643,2022-07-20T16.36.12.643,0.191,-0.934,0.300,-0.031
1658327772653,2022-07-20T16.36.12.653,0.201,-0.937,0.299,-0.025
1658327772662,2022-07-20T16.36.12.662,0.210,-0.935,0.302,-0.025
1658327772672,2022-07-20T16.36.12.672,0.220,-0.931,0.307,-0.031
1658327772682,2022-07-20T16.36.12.682,0.230,-0.930,0.305,-0.032
1658327772692,2022-07-20T16.36.12.692,0.240,-0.929,0.302,-0.029
1658327772703,2022-07-20T16.36.12.703,0.251,-0.923,0.303,-0.029
1658327772713,2022-07-20T16.36.12.713,0.261,-0.919,0.301,-0.031
1658327772722,2022-07-20T16.36.12.722,0.270,-0.919,0.295,-0.035
1658327772732,2022-07-20T16.36.12.732,0.280,-0.918,0.292,-0.035
1658327772742,2022-07-20T16.36.12.742,0.290,-0.919,0.294,-0.032
1658327772752,2022-07-20T16.36.12.752,0.300,-0.921,0.295,-0.030
1658327772763,2022-07-20T16.36.12.763,0.311,-0.922,0.298,-0.034
1658327772773,2022-07-20T16.36.12.773,0.321,-0.930,0.303,-0.032
1658327772783,2022-07-20T16.36.12.783,0.331,-0.938,0.309,-0.035
1658327772792,2022-07-20T16.36.12.792,0.340,-0.937,0.311,-0.034
1658327772802,2022-07-20T16.36.12.802,0.350,-0.936,0.310,-0.029
1658327772813,2022-07-20T16.36.12.813,0.361,-0.937,0.307,-0.028
1658327772823,2022-07-20T16.36.12.823,0.371,-0.936,0.306,-0.031
1658327772833,2022-07-20T16.36.12.833,0.381,-0.932,0.305,-0.031
1658327772843,2022-07-20T16.36.12.843,0.391,-0.930,0.301,-0.025
1658327772852,2022-07-20T16.36.12.852,0.400,-0.927,0.300,-0.029
1658327772862,2022-07-20T16.36.12.862,0.410,-0.923,0.298,-0.033
1658327772873,2022-07-20T16.36.12.873,0.421,-0.923,0.297,-0.029
1658327772883,2022-07-20T16.36.12.883,0.431,-0.927,0.302,-0.028
1658327772893,2022-07-20T16.36.12.893,0.441,-0.931,0.302,-0.030
1658327772903,2022-07-20T16.36.12.903,0.451,-0.927,0.302,-0.034
1658327772912,2022-07-20T16.36.12.912,0.460,-0.924,0.301,-0.032
1658327772922,2022-07-20T16.36.12.922,0.470,-0.928,0.299,-0.031
1658327772933,2022-07-20T16.36.12.933,0.481,-0.925,0.297,-0.028
1658327772943,2022-07-20T16.36.12.943,0.491,-0.924,0.296,-0.032
1658327772953,2022-07-20T16.36.12.953,0.501,-0.928,0.295,-0.034
1658327772963,2022-07-20T16.36.12.963,0.511,-0.929,0.293,-0.031
1658327772972,2022-07-20T16.36.12.972,0.520,-0.931,0.296,-0.030
1658327772982,2022-07-20T16.36.12.982,0.530,-0.934,0.296,-0.027
1658327772993,2022-07-20T16.36.12.993,0.541,-0.938,0.296,-0.028
1658327773003,2022-07-20T16.36.13.003,0.551,-0.934,0.296,-0.025
1658327773013,2022-07-20T16.36.13.013,0.561,-0.931,0.300,-0.026
1658327773023,2022-07-20T16.36.13.023,0.571,-0.926,0.301,-0.024
1658327773034,2022-07-20T16.36.13.034,0.582,-0.923,0.300,-0.024
1658327773043,2022-07-20T16.36.13.043,0.591,-0.923,0.301,-0.027
1658327773053,2022-07-20T16.36.13.053,0.601,-0.926,0.301,-0.025
1658327773063,2022-07-20T16.36.13.063,0.611,-0.923,0.302,-0.032
1658327773073,2022-07-20T16.36.13.073,0.621,-0.917,0.301,-0.033
1658327773084,2022-07-20T16.36.13.084,0.632,-0.915,0.299,-0.032
1658327773094,2022-07-20T16.36.13.094,0.642,-0.921,0.296,-0.029
1658327773103,2022-07-20T16.36.13.103,0.651,-0.924,0.299,-0.030
1658327773113,2022-07-20T16.36.13.113,0.661,-0.927,0.300,-0.034
1658327773123,2022-07-20T16.36.13.123,0.671,-0.933,0.307,-0.035
1658327773133,2022-07-20T16.36.13.133,0.681,-0.937,0.307,-0.032
1658327773144,2022-07-20T16.36.13.144,0.692,-0.939,0.309,-0.034
1658327773154,2022-07-20T16.36.13.154,0.702,-0.939,0.314,-0.035
1658327773164,2022-07-20T16.36.13.164,0.712,-0.935,0.312,-0.030
1658327773173,2022-07-20T16.36.13.173,0.721,-0.932,0.310,-0.026
1658327773183,2022-07-20T16.36.13.183,0.731,-0.930,0.309,-0.027
1658327773193,2022-07-20T16.36.13.193,0.741,-0.927,0.306,-0.029
1658327773204,2022-07-20T16.36.13.204,0.752,-0.920,0.299,-0.027
1658327773214,2022-07-20T16.36.13.214,0.762,-0.919,0.297,-0.028
1658327773224,2022-07-20T16.36.13.224,0.772,-0.920,0.296,-0.031
1658327773233,2022-07-20T16.36.13.233,0.781,-0.923,0.293,-0.030
1658327773243,2022-07-20T16.36.13.243,0.791,-0.926,0.295,-0.035
1658327773253,2022-07-20T16.36.13.253,0.801,-0.929,0.295,-0.033
1658327773264,2022-07-20T16.36.13.264,0.812,-0.932,0.300,-0.030
1658327773274,2022-07-20T16.36.13.274,0.822,-0.936,0.302,-0.029
1658327773284,2022-07-20T16.36.13.284,0.832,-0.935,0.301,-0.030
1658327773293,2022-07-20T16.36.13.293,0.841,-0.933,0.302,-0.028
1658327773303,2022-07-20T16.36.13.303,0.851,-0.931,0.300,-0.029
1658327773314,2022-07-20T16.36.13.314,0.862,-0.925,0.299,-0.029
1658327773324,2022-07-20T16.36.13.324,0.872,-0.927,0.298,-0.028
1658327773334,2022-07-20T16.36.13.334,0.882,-0.927,0.294,-0.030
1658327773344,2022-07-20T16.36.13.344,0.892,-0.927,0.292,-0.032
1658327773353,2022-07-20T16.36.13.353,0.901,-0.928,0.289,-0.034
1658327773363,2022-07-20T16.36.13.363,0.911,-0.928,0.292,-0.028
1658327773374,2022-07-20T16.36.13.374,0.922,-0.927,0.291,-0.023
1658327773384,2022-07-20T16.36.13.384,0.932,-0.928,0.295,-0.024
1658327773394,2022-07-20T16.36.13.394,0.942,-0.933,0.293,-0.029
1658327773404,2022-07-20T16.36.13.404,0.952,-0.933,0.294,-0.025
1658327773413,2022-07-20T16.36.13.413,0.961,-0.934,0.298,-0.024
1658327773423,2022-07-20T16.36.13.423,0.971,-0.934,0.299,-0.026
1658327773434,2022-07-20T16.36.13.434,0.982,-0.932,0.298,-0.025
1658327773444,2022-07-20T16.36.13.444,0.992,-0.927,0.300,-0.025
1658327773454,2022-07-20T16.36.13.454,1.002,-0.923,0.295,-0.021
1658327773464,2022-07-20T16.36.13.464,1.012,-0.922,0.292,-0.023
1658327773475,2022-07-20T16.36.13.475,1.023,-0.923,0.290,-0.025
1658327773483,2022-07-20T16.36.13.483,1.031,-0.926,0.290,-0.020
1658327773494,2022-07-20T16.36.13.494,1.042,-0.926,0.290,-0.022
1658327773504,2022-07-20T16.36.13.504,1.052,-0.927,0.291,-0.024
1658327773514,2022-07-20T16.36.13.514,1.062,-0.927,0.290,-0.022
1658327773524,2022-07-20T16.36.13.524,1.072,-0.926,0.292,-0.020
1658327773535,2022-07-20T16.36.13.535,1.083,-0.930,0.295,-0.021
1658327773543,2022-07-20T16.36.13.543,1.091,-0.931,0.298,-0.021
1658327773554,2022-07-20T16.36.13.554,1.102,-0.931,0.304,-0.023
1658327773564,2022-07-20T16.36.13.564,1.112,-0.927,0.304,-0.025
1658327773574,2022-07-20T16.36.13.574,1.122,-0.925,0.304,-0.028
1658327773585,2022-07-20T16.36.13.585,1.133,-0.929,0.304,-0.026
1658327773595,2022-07-20T16.36.13.595,1.143,-0.931,0.303,-0.027
1658327773605,2022-07-20T16.36.13.605,1.153,-0.935,0.306,-0.031
1658327773614,2022-07-20T16.36.13.614,1.162,-0.935,0.308,-0.030
1658327773624,2022-07-20T16.36.13.624,1.172,-0.932,0.303,-0.027
1658327773634,2022-07-20T16.36.13.634,1.182,-0.929,0.302,-0.029
1658327773645,2022-07-20T16.36.13.645,1.193,-0.931,0.301,-0.030
1658327773655,2022-07-20T16.36.13.655,1.203,-0.932,0.301,-0.028
1658327773665,2022-07-20T16.36.13.665,1.213,-0.931,0.302,-0.027
1658327773674,2022-07-20T16.36.13.674,1.222,-0.928,0.303,-0.030
1658327773684,2022-07-20T16.36.13.684,1.232,-0.928,0.301,-0.028
1658327773694,2022-07-20T16.36.13.694,1.242,-0.927,0.298,-0.027
1658327773705,2022-07-20T16.36.13.705,1.253,-0.923,0.292,-0.024
1658327773715,2022-07-20T16.36.13.715,1.263,-0.919,0.287,-0.023
1658327773725,2022-07-20T16.36.13.725,1.273,-0.923,0.287,-0.023
1658327773734,2022-07-20T16.36.13.734,1.282,-0.923,0.293,-0.030
1658327773744,2022-07-20T16.36.13.744,1.292,-0.925,0.298,-0.036
1658327773754,2022-07-20T16.36.13.754,1.302,-0.932,0.303,-0.033
1658327773765,2022-07-20T16.36.13.765,1.313,-0.934,0.304,-0.033
1658327773775,2022-07-20T16.36.13.775,1.323,-0.934,0.303,-0.033
1658327773785,2022-07-20T16.36.13.785,1.333,-0.938,0.303,-0.028
1658327773794,2022-07-20T16.36.13.794,1.342,-0.937,0.299,-0.026
1658327773804,2022-07-20T16.36.13.804,1.352,-0.929,0.297,-0.019
1658327773814,2022-07-20T16.36.13.814,1.362,-0.926,0.297,-0.020
1658327773825,2022-07-20T16.36.13.825,1.373,-0.928,0.297,-0.021
1658327773835,2022-07-20T16.36.13.835,1.383,-0.927,0.301,-0.025
1658327773845,2022-07-20T16.36.13.845,1.393,-0.927,0.304,-0.028
1658327773855,2022-07-20T16.36.13.855,1.403,-0.924,0.300,-0.028
1658327773864,2022-07-20T16.36.13.864,1.412,-0.923,0.297,-0.024
1658327773875,2022-07-20T16.36.13.875,1.423,-0.925,0.296,-0.024
1658327773885,2022-07-20T16.36.13.885,1.433,-0.926,0.295,-0.023
1658327773895,2022-07-20T16.36.13.895,1.443,-0.926,0.295,-0.023
1658327773905,2022-07-20T16.36.13.905,1.453,-0.927,0.295,-0.022
1658327773916,2022-07-20T16.36.13.916,1.464,-0.932,0.292,-0.020
1658327773924,2022-07-20T16.36.13.924,1.472,-0.931,0.294,-0.023
1658327773935,2022-07-20T16.36.13.935,1.483,-0.932,0.293,-0.027
1658327773945,2022-07-20T16.36.13.945,1.493,-0.936,0.292,-0.025
1658327773955,2022-07-20T16.36.13.955,1.503,-0.933,0.292,-0.025
1658327773965,2022-07-20T16.36.13.965,1.513,-0.931,0.291,-0.022
1658327773976,2022-07-20T16.36.13.976,1.524,-0.931,0.292,-0.025
1658327773984,2022-07-20T16.36.13.984,1.532,-0.929,0.291,-0.027
1658327773995,2022-07-20T16.36.13.995,1.543,-0.923,0.290,-0.027
1658327774005,2022-07-20T16.36.14.005,1.553,-0.923,0.290,-0.028
1658327774015,2022-07-20T16.36.14.015,1.563,-0.926,0.290,-0.027
1658327774025,2022-07-20T16.36.14.025,1.573,-0.928,0.294,-0.030
1658327774036,2022-07-20T16.36.14.036,1.584,-0.932,0.296,-0.031
1658327774044,2022-07-20T16.36.14.044,1.592,-0.937,0.301,-0.032
1658327774055,2022-07-20T16.36.14.055,1.603,-0.938,0.305,-0.031
1658327774065,2022-07-20T16.36.14.065,1.613,-0.941,0.308,-0.029
1658327774075,2022-07-20T16.36.14.075,1.623,-0.939,0.313,-0.030
1658327774085,2022-07-20T16.36.14.085,1.633,-0.935,0.316,-0.029
1658327774096,2022-07-20T16.36.14.096,1.644,-0.932,0.313,-0.028
1658327774106,2022-07-20T16.36.14.106,1.654,-0.927,0.308,-0.028
1658327774115,2022-07-20T16.36.14.115,1.663,-0.924,0.302,-0.026
1658327774125,2022-07-20T16.36.14.125,1.673,-0.923,0.299,-0.030
1658327774135,2022-07-20T16.36.14.135,1.683,-0.920,0.295,-0.033
1658327774146,2022-07-20T16.36.14.146,1.694,-0.919,0.292,-0.036
1658327774156,2022-07-20T16.36.14.156,1.704,-0.919,0.294,-0.040
1658327774166,2022-07-20T16.36.14.166,1.714,-0.919,0.296,-0.037
1658327774175,2022-07-20T16.36.14.175,1.723,-0.923,0.295,-0.038
1658327774185,2022-07-20T16.36.14.185,1.733,-0.926,0.298,-0.034
1658327774195,2022-07-20T16.36.14.195,1.743,-0.934,0.301,-0.029
1658327774206,2022-07-20T16.36.14.206,1.754,-0.936,0.305,-0.027
1658327774216,2022-07-20T16.36.14.216,1.764,-0.931,0.306,-0.033
1658327774226,2022-07-20T16.36.14.226,1.774,-0.933,0.304,-0.027
1658327774235,2022-07-20T16.36.14.235,1.783,-0.932,0.301,-0.022
1658327774245,2022-07-20T16.36.14.245,1.793,-0.930,0.299,-0.026
1658327774255,2022-07-20T16.36.14.255,1.803,-0.928,0.296,-0.023
1658327774266,2022-07-20T16.36.14.266,1.814,-0.925,0.294,-0.019
1658327774276,2022-07-20T16.36.14.276,1.824,-0.925,0.299,-0.016
1658327774286,2022-07-20T16.36.14.286,1.834,-0.927,0.301,-0.010
1658327774296,2022-07-20T16.36.14.296,1.844,-0.924,0.306,-0.016
1658327774305,2022-07-20T16.36.14.305,1.853,-0.925,0.309,-0.016
1658327774315,2022-07-20T16.36.14.315,1.863,-0.923,0.312,-0.015
1658327774326,2022-07-20T16.36.14.326,1.874,-0.921,0.315,-0.012
1658327774336,2022-07-20T16.36.14.336,1.884,-0.918,0.316,-0.016
1658327774346,2022-07-20T16.36.14.346,1.894,-0.914,0.315,-0.022
1658327774356,2022-07-20T16.36.14.356,1.904,-0.915,0.317,-0.028
