epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1658327769043,2022-07-20T16.36.09.043,0.000,-0.061,1.707,0.671
1658327769053,2022-07-20T16.36.09.053,0.010,0.854,1.890,0.793
1658327769064,2022-07-20T16.36.09.064,0.021,1.280,1.768,0.244
1658327769072,2022-07-20T16.36.09.072,0.029,2.195,2.012,-0.061
1658327769083,2022-07-20T16.36.09.083,0.040,2.439,2.073,-0.183
1658327769093,2022-07-20T16.36.09.093,0.050,1.951,1.951,-0.671
1658327769103,2022-07-20T16.36.09.103,0.060,1.098,1.951,-0.915
1658327769112,2022-07-20T16.36.09.112,0.069,0.366,1.707,-1.159
1658327769122,2022-07-20T16.36.09.122,0.079,-0.122,0.854,-1.220
1658327769133,2022-07-20T16.36.09.133,0.090,-0.793,0.732,-1.280
1658327769143,2022-07-20T16.36.09.143,0.100,-1.341,0.976,-1.037
1658327769152,2022-07-20T16.36.09.152,0.109,-1.890,0.671,-0.915
1658327769162,2022-07-20T16.36.09.162,0.119,-2.256,0.244,-0.854
1658327769172,2022-07-20T16.36.09.172,0.129,-2.195,0.183,-0.732
1658327769181,2022-07-20T16.36.09.181,0.138,-1.524,0.244,-0.732
1658327769191,2022-07-20T16.36.09.191,0.148,-0.610,0.610,-0.427
1658327769201,2022-07-20T16.36.09.201,0.158,0.122,0.671,-0.305
1658327769212,2022-07-20T16.36.09.212,0.169,0.854,0.549,-0.305
1658327769220,2022-07-20T16.36.09.220,0.177,1.341,0.427,-0.427
1658327769231,2022-07-20T16.36.09.231,0.188,1.768,0.244,-0.366
1658327769241,2022-07-20T16.36.09.241,0.198,1.829,0.305,0.061
1658327769251,2022-07-20T16.36.09.251,0.208,1.220,0.610,0.427
1658327769260,2022-07-20T16.36.09.260,0.217,0.854,0.549,0.854
1658327769270,2022-07-20T16.36.09.270,0.227,0.305,0.549,1.220
1658327769280,2022-07-20T16.36.09.280,0.237,0.000,1.037,1.768
1658327769291,2022-07-20T16.36.09.291,0.248,-0.488,1.463,2.256
1658327769300,2022-07-20T16.36.09.300,0.257,-0.671,1.646,2.378
1658327769310,2022-07-20T16.36.09.310,0.267,-0.366,1.402,2.195
1658327769320,2022-07-20T16.36.09.320,0.277,0.061,1.098,2.195
1658327769329,2022-07-20T16.36.09.329,0.286,-0.061,0.976,2.134
1658327769339,2022-07-20T16.36.09.339,0.296,0.000,0.976,1.707
1658327769349,2022-07-20T16.36.09.349,0.306,0.061,0.976,1.280
1658327769360,2022-07-20T16.36.09.360,0.317,-0.244,0.732,0.915
1658327769368,2022-07-20T16.36.09.368,0.325,-0.610,0.610,0.549
1658327769379,2022-07-20T16.36.09.379,0.336,-1.037,0.854,0.488
1658327769389,2022-07-20T16.36.09.389,0.346,-0.793,1.159,0.488
1658327769399,2022-07-20T16.36.09.399,0.356,-0.610,1.402,0.427
1658327769408,2022-07-20T16.36.09.408,0.365,-0.305,1.829,0.610
1658327769418,2022-07-20T16.36.09.418,0.375,0.122,2.134,0.976
1658327769428,2022-07-20T16.36.09.428,0.385,0.549,1.890,1.463
1658327769437,2022-07-20T16.36.09.437,0.394,1.280,1.463,1.585
1658327769447,2022-07-20T16.36.09.447,0.404,1.220,1.098,1.524
1658327769458,2022-07-20T16.36.09.458,0.415,0.671,0.732,1.280
1658327769468,2022-07-20T16.36.09.468,0.425,0.244,0.244,0.854
1658327769477,2022-07-20T16.36.09.477,0.434,0.000,-0.183,0.427
1658327769487,2022-07-20T16.36.09.487,0.444,0.122,-0.488,0.122
1658327769497,2022-07-20T16.36.09.497,0.454,0.488,-0.732,0.061
1658327769508,2022-07-20T16.36.09.508,0.465,0.305,-0.671,0.000
1658327769516,2022-07-20T16.36.09.516,0.473,-0.305,-0.610,-0.305
1658327769527,2022-07-20T16.36.09.527,0.484,-0.366,-0.488,-0.671
1658327769537,2022-07-20T16.36.09.537,0.494,-0.244,0.061,-0.854
1658327769547,2022-07-20T16.36.09.547,0.504,-0.061,0.732,-0.793
1658327769556,2022-07-20T16.36.09.556,0.513,0.183,1.220,-0.488
1658327769566,2022-07-20T16.36.09.566,0.523,0.061,1.524,-0.305
1658327769576,2022-07-20T16.36.09.576,0.533,-0.244,1.402,-0.305
1658327769585,2022-07-20T16.36.09.585,0.542,-0.427,0.976,-0.427
1658327769595,2022-07-20T16.36.09.595,0.552,-0.366,0.854,-0.366
1658327769606,2022-07-20T16.36.09.606,0.563,-0.305,0.854,0.000
1658327769616,2022-07-20T16.36.09.616,0.573,-0.671,0.854,0.427
1658327769625,2022-07-20T16.36.09.625,0.582,-0.915,0.610,0.610
1658327769635,2022-07-20T16.36.09.635,0.592,-1.159,0.183,0.488
1658327769645,2022-07-20T16.36.09.645,0.602,-1.159,0.244,0.183
1658327769655,2022-07-20T16.36.09.655,0.612,-0.976,0.671,0.061
1658327769664,2022-07-20T16.36.09.664,0.621,-0.732,0.671,0.000
1658327769675,2022-07-20T16.36.09.675,0.632,-0.488,0.305,-0.061
1658327769685,2022-07-20T16.36.09.685,0.642,-0.305,0.244,0.061
1658327769695,2022-07-20T16.36.09.695,0.652,-0.122,0.366,0.183
1658327769704,2022-07-20T16.36.09.704,0.661,0.183,0.488,0.122
1658327769714,2022-07-20T16.36.09.714,0.671,0.000,0.610,0.305
1658327769724,2022-07-20T16.36.09.724,0.681,-0.610,0.488,0.488
1658327769733,2022-07-20T16.36.09.733,0.690,-0.915,0.549,0.732
1658327769743,2022-07-20T16.36.09.743,0.700,-1.159,0.732,1.037
1658327769754,2022-07-20T16.36.09.754,0.711,-1.280,1.098,1.220
1658327769764,2022-07-20T16.36.09.764,0.721,-1.098,1.159,1.159
1658327769773,2022-07-20T16.36.09.773,0.730,-0.976,0.915,0.915
1658327769783,2022-07-20T16.36.09.783,0.740,-1.280,0.549,0.488
1658327769793,2022-07-20T16.36.09.793,0.750,-1.341,0.366,0.122
1658327769803,2022-07-20T16.36.09.803,0.760,-1.159,0.244,-0.122
1658327769812,2022-07-20T16.36.09.812,0.769,-1.037,0.244,-0.427
1658327769822,2022-07-20T16.36.09.822,0.779,-1.220,0.305,-0.488
1658327769833,2022-07-20T16.36.09.833,0.790,-1.280,0.305,-0.549
1658327769842,2022-07-20T16.36.09.842,0.799,-1.341,0.549,-0.549
1658327769852,2022-07-20T16.36.09.852,0.809,-1.159,0.671,-0.549
1658327769862,2022-07-20T16.36.09.862,0.819,-1.098,0.854,-0.549
1658327769872,2022-07-20T16.36.09.872,0.829,-1.098,0.976,-0.366
1658327769881,2022-07-20T16.36.09.881,0.838,-0.915,1.037,-0.122
1658327769891,2022-07-20T16.36.09.891,0.848,-0.732,0.671,-0.244
1658327769902,2022-07-20T16.36.09.902,0.859,-0.610,0.488,-0.305
1658327769912,2022-07-20T16.36.09.912,0.869,-0.671,0.427,-0.305
1658327769921,2022-07-20T16.36.09.921,0.878,-0.915,0.427,-0.244
1658327769931,2022-07-20T16.36.09.931,0.888,-0.854,0.488,-0.183
1658327769941,2022-07-20T16.36.09.941,0.898,-0.732,0.549,-0.061
1658327769951,2022-07-20T16.36.09.951,0.908,-0.793,0.793,0.122
1658327769960,2022-07-20T16.36.09.960,0.917,-0.793,1.159,0.305
1658327769970,2022-07-20T16.36.09.970,0.927,-0.976,1.159,0.488
1658327769981,2022-07-20T16.36.09.981,0.938,-1.280,0.915,0.488
1658327769989,2022-07-20T16.36.09.989,0.946,-1.280,0.427,0.549
1658327770000,2022-07-20T16.36.10.000,0.957,-1.098,0.122,0.488
1658327770010,2022-07-20T16.36.10.010,0.967,-1.159,0.366,0.671
1658327770020,2022-07-20T16.36.10.020,0.977,-1.037,0.671,0.976
1658327770029,2022-07-20T16.36.10.029,0.986,-1.159,0.732,1.220
1658327770039,2022-07-20T16.36.10.039,0.996,-1.402,0.488,1.159
1658327770050,2022-07-20T16.36.10.050,1.007,-1.402,0.183,0.854
