epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1646413079480,2022-03-04T17.57.59.480,0.000,-0.997,-0.175,-0.048
1646413079490,2022-03-04T17.57.59.490,0.010,-1.006,-0.176,-0.048
1646413079500,2022-03-04T17.57.59.500,0.020,-1.006,-0.178,-0.048
1646413079509,2022-03-04T17.57.59.509,0.029,-1.004,-0.179,-0.049
1646413079519,2022-03-04T17.57.59.519,0.039,-1.005,-0.180,-0.045
1646413079529,2022-03-04T17.57.59.529,0.049,-1.004,-0.183,-0.042
1646413079540,2022-03-04T17.57.59.540,0.060,-1.003,-0.191,-0.044
1646413079550,2022-03-04T17.57.59.550,0.070,-1.004,-0.187,-0.042
1646413079559,2022-03-04T17.57.59.559,0.079,-1.002,-0.179,-0.045
1646413079569,2022-03-04T17.57.59.569,0.089,-1.001,-0.180,-0.045
1646413079579,2022-03-04T17.57.59.579,0.099,-1.002,-0.178,-0.043
1646413079589,2022-03-04T17.57.59.589,0.109,-1.006,-0.174,-0.045
1646413079600,2022-03-04T17.57.59.600,0.120,-1.002,-0.169,-0.047
1646413079608,2022-03-04T17.57.59.608,0.128,-1.001,-0.175,-0.049
1646413079619,2022-03-04T17.57.59.619,0.139,-1.004,-0.185,-0.046
1646413079629,2022-03-04T17.57.59.629,0.149,-1.004,-0.184,-0.046
1646413079639,2022-03-04T17.57.59.639,0.159,-1.004,-0.178,-0.047
1646413079649,2022-03-04T17.57.59.649,0.169,-1.003,-0.174,-0.044
1646413079658,2022-03-04T17.57.59.658,0.178,-1.001,-0.183,-0.046
1646413079669,2022-03-04T17.57.59.669,0.189,-1.005,-0.183,-0.042
1646413079679,2022-03-04T17.57.59.679,0.199,-1.005,-0.182,-0.046
1646413079689,2022-03-04T17.57.59.689,0.209,-1.004,-0.176,-0.045
1646413079699,2022-03-04T17.57.59.699,0.219,-1.005,-0.168,-0.042
1646413079708,2022-03-04T17.57.59.708,0.228,-1.004,-0.169,-0.045
1646413079718,2022-03-04T17.57.59.718,0.238,-1.003,-0.179,-0.047
1646413079729,2022-03-04T17.57.59.729,0.249,-1.003,-0.186,-0.045
1646413079739,2022-03-04T17.57.59.739,0.259,-1.001,-0.185,-0.043
1646413079749,2022-03-04T17.57.59.749,0.269,-1.000,-0.177,-0.043
