epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1646413079500,2022-03-04T17.57.59.500,0.000,-0.427,-0.488,-1.220
1646413079509,2022-03-04T17.57.59.509,0.009,-0.305,-0.610,-0.854
1646413079519,2022-03-04T17.57.59.519,0.019,0.000,-0.549,-0.244
1646413079529,2022-03-04T17.57.59.529,0.029,-0.366,-0.488,-0.427
1646413079540,2022-03-04T17.57.59.540,0.040,-0.305,-0.366,-0.427
1646413079550,2022-03-04T17.57.59.550,0.050,0.061,-0.427,-0.183
1646413079559,2022-03-04T17.57.59.559,0.059,0.244,-0.427,-0.183
1646413079569,2022-03-04T17.57.59.569,0.069,0.610,-0.488,-0.061
1646413079579,2022-03-04T17.57.59.579,0.079,0.793,-0.305,0.000
1646413079589,2022-03-04T17.57.59.589,0.089,0.488,-0.305,-0.061
1646413079600,2022-03-04T17.57.59.600,0.100,0.122,-0.427,-0.183
1646413079608,2022-03-04T17.57.59.608,0.108,-0.061,-0.488,-0.244
1646413079619,2022-03-04T17.57.59.619,0.119,0.183,-0.366,-0.183
1646413079629,2022-03-04T17.57.59.629,0.129,0.366,-0.549,-0.061
1646413079639,2022-03-04T17.57.59.639,0.139,0.549,-0.732,0.061
1646413079649,2022-03-04T17.57.59.649,0.149,0.793,-0.732,0.122
1646413079658,2022-03-04T17.57.59.658,0.158,0.549,-0.671,0.183
1646413079669,2022-03-04T17.57.59.669,0.169,0.793,-0.549,0.305
1646413079679,2022-03-04T17.57.59.679,0.179,0.976,-0.671,0.366
1646413079689,2022-03-04T17.57.59.689,0.189,1.220,-0.671,0.305
1646413079699,2022-03-04T17.57.59.699,0.199,1.220,-0.732,0.366
1646413079708,2022-03-04T17.57.59.708,0.208,0.427,-0.671,0.183
1646413079718,2022-03-04T17.57.59.718,0.218,0.671,-0.427,0.122
1646413079729,2022-03-04T17.57.59.729,0.229,0.976,-0.244,-0.061
1646413079739,2022-03-04T17.57.59.739,0.239,1.402,-0.305,0.061
1646413079749,2022-03-04T17.57.59.749,0.249,1.707,-0.488,0.183
1646413079759,2022-03-04T17.57.59.759,0.259,1.402,-0.366,0.183
1646413079768,2022-03-04T17.57.59.768,0.268,1.159,-0.244,0.244
1646413079778,2022-03-04T17.57.59.778,0.278,0.366,-0.183,0.183
1646413079789,2022-03-04T17.57.59.789,0.289,0.427,-0.122,0.061
1646413079799,2022-03-04T17.57.59.799,0.299,0.610,-0.244,0.061
