epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1656950108408,2022-07-04T17.55.08.408,0.000,0.305,1.280,-0.122
1656950108418,2022-07-04T17.55.08.418,0.010,0.305,1.098,0.244
1656950108428,2022-07-04T17.55.08.428,0.020,0.366,1.159,-0.244
1656950108439,2022-07-04T17.55.08.439,0.031,1.037,0.488,-0.366
1656950108447,2022-07-04T17.55.08.447,0.039,1.341,-0.122,-0.244
1656950108458,2022-07-04T17.55.08.458,0.050,0.976,-0.183,-0.427
1656950108468,2022-07-04T17.55.08.468,0.060,-0.366,-0.427,-0.854
1656950108478,2022-07-04T17.55.08.478,0.070,-1.220,-1.037,-1.159
1656950108488,2022-07-04T17.55.08.488,0.080,-2.073,-1.280,-1.220
1656950108499,2022-07-04T17.55.08.499,0.091,-2.683,-1.402,-1.037
1656950108509,2022-07-04T17.55.08.509,0.101,-2.317,-1.280,-1.220
1656950108519,2022-07-04T17.55.08.519,0.111,-0.915,-1.098,-1.402
1656950108529,2022-07-04T17.55.08.529,0.121,-0.854,-1.280,-1.159
1656950108540,2022-07-04T17.55.08.540,0.132,-0.671,-1.280,-0.976
1656950108550,2022-07-04T17.55.08.550,0.142,0.244,-1.037,-0.793
1656950108560,2022-07-04T17.55.08.560,0.152,0.366,-1.220,-0.854
1656950108569,2022-07-04T17.55.08.569,0.161,0.488,-1.585,-0.915
1656950108579,2022-07-04T17.55.08.579,0.171,0.366,-0.976,-0.793
1656950108589,2022-07-04T17.55.08.589,0.181,-0.610,-0.610,-1.037
1656950108600,2022-07-04T17.55.08.600,0.192,-0.305,-1.890,-1.159
1656950108610,2022-07-04T17.55.08.610,0.202,-0.671,-1.829,-0.915
1656950108620,2022-07-04T17.55.08.620,0.212,-1.707,-0.732,-0.854
1656950108630,2022-07-04T17.55.08.630,0.222,-0.976,-0.488,-1.098
1656950108641,2022-07-04T17.55.08.641,0.233,0.183,-0.793,-0.976
1656950108651,2022-07-04T17.55.08.651,0.243,0.549,-0.854,-0.732
1656950108661,2022-07-04T17.55.08.661,0.253,1.463,-0.549,-0.366
1656950108671,2022-07-04T17.55.08.671,0.263,1.646,-0.366,-0.610
1656950108682,2022-07-04T17.55.08.682,0.274,0.976,-0.366,-0.671
1656950108691,2022-07-04T17.55.08.691,0.283,0.305,0.000,-0.610
1656950108701,2022-07-04T17.55.08.701,0.293,-0.305,0.061,-0.549
1656950108711,2022-07-04T17.55.08.711,0.303,-0.549,0.122,-0.610
1656950108721,2022-07-04T17.55.08.721,0.313,-0.366,-0.305,-0.549
1656950108732,2022-07-04T17.55.08.732,0.324,-0.915,-0.732,-0.610
1656950108742,2022-07-04T17.55.08.742,0.334,-1.280,-0.671,-0.488
1656950108752,2022-07-04T17.55.08.752,0.344,-1.463,-0.244,-0.366
1656950108762,2022-07-04T17.55.08.762,0.354,-1.402,-0.183,-0.427
1656950108773,2022-07-04T17.55.08.773,0.365,-0.793,-0.305,-0.305
1656950108783,2022-07-04T17.55.08.783,0.375,-0.244,-0.366,-0.244
1656950108793,2022-07-04T17.55.08.793,0.385,1.463,-0.793,-0.061
1656950108803,2022-07-04T17.55.08.803,0.395,2.439,-0.976,0.000
1656950108812,2022-07-04T17.55.08.812,0.404,2.195,-0.976,-0.122
1656950108822,2022-07-04T17.55.08.822,0.414,2.073,-0.915,-0.427
1656950108833,2022-07-04T17.55.08.833,0.425,1.768,-0.854,-0.671
1656950108843,2022-07-04T17.55.08.843,0.435,0.915,-0.488,-0.549
1656950108853,2022-07-04T17.55.08.853,0.445,-0.061,-0.061,-0.549
1656950108863,2022-07-04T17.55.08.863,0.455,-0.244,-0.122,-0.915
1656950108874,2022-07-04T17.55.08.874,0.466,0.061,-0.610,-1.037
1656950108884,2022-07-04T17.55.08.884,0.476,0.366,-0.732,-0.671
1656950108894,2022-07-04T17.55.08.894,0.486,1.098,-0.732,-0.427
1656950108904,2022-07-04T17.55.08.904,0.496,0.671,-0.427,-0.610
1656950108915,2022-07-04T17.55.08.915,0.507,0.305,-0.488,-0.854
1656950108923,2022-07-04T17.55.08.923,0.515,-0.122,-0.305,-0.793
1656950108935,2022-07-04T17.55.08.935,0.527,-1.280,0.122,-0.793
1656950108944,2022-07-04T17.55.08.944,0.536,-1.890,-0.061,-0.854
1656950108954,2022-07-04T17.55.08.954,0.546,-2.317,-0.122,-0.793
1656950108964,2022-07-04T17.55.08.964,0.556,-2.378,0.061,-0.732
1656950108975,2022-07-04T17.55.08.975,0.567,-0.183,-0.244,-0.549
1656950108985,2022-07-04T17.55.08.985,0.577,0.183,-0.305,-0.366
1656950108995,2022-07-04T17.55.08.995,0.587,0.549,-0.610,-0.305
1656950109005,2022-07-04T17.55.09.005,0.597,1.585,-0.488,-0.122
1656950109016,2022-07-04T17.55.09.016,0.608,1.951,-0.061,-0.061
1656950109026,2022-07-04T17.55.09.026,0.618,1.768,-0.061,-0.122
1656950109036,2022-07-04T17.55.09.036,0.628,1.159,-0.427,-0.427
1656950109045,2022-07-04T17.55.09.045,0.637,0.610,-0.976,-0.488
1656950109055,2022-07-04T17.55.09.055,0.647,-0.305,-0.488,-0.427
1656950109066,2022-07-04T17.55.09.066,0.658,-0.976,-0.244,-0.549
1656950109076,2022-07-04T17.55.09.076,0.668,-0.915,-0.549,-0.427
1656950109086,2022-07-04T17.55.09.086,0.678,-1.220,-0.305,-0.305
1656950109096,2022-07-04T17.55.09.096,0.688,-0.244,-0.061,-0.427
1656950109107,2022-07-04T17.55.09.107,0.699,0.915,-0.305,-0.366
1656950109117,2022-07-04T17.55.09.117,0.709,0.549,0.000,-0.366
1656950109127,2022-07-04T17.55.09.127,0.719,0.671,-0.122,-0.366
1656950109137,2022-07-04T17.55.09.137,0.729,0.610,-0.549,-0.549
1656950109148,2022-07-04T17.55.09.148,0.740,0.122,-0.427,-0.732
1656950109158,2022-07-04T17.55.09.158,0.750,-0.610,-0.244,-0.671
1656950109167,2022-07-04T17.55.09.167,0.759,-0.915,-0.183,-0.610
1656950109177,2022-07-04T17.55.09.177,0.769,-0.610,-0.427,-0.854
1656950109187,2022-07-04T17.55.09.187,0.779,0.244,-0.732,-0.610
1656950109197,2022-07-04T17.55.09.197,0.789,0.366,-0.488,-0.244
1656950109208,2022-07-04T17.55.09.208,0.800,0.854,-0.610,-0.427
1656950109218,2022-07-04T17.55.09.218,0.810,1.159,-0.671,-0.366
1656950109228,2022-07-04T17.55.09.228,0.820,1.098,-0.671,-0.488
1656950109238,2022-07-04T17.55.09.238,0.830,0.549,-0.610,-0.610
1656950109249,2022-07-04T17.55.09.249,0.841,0.000,-0.427,-0.610
1656950109259,2022-07-04T17.55.09.259,0.851,-0.488,-0.305,-0.610
1656950109269,2022-07-04T17.55.09.269,0.861,-0.366,-0.427,-0.610
1656950109279,2022-07-04T17.55.09.279,0.871,-0.305,-0.305,-0.488
1656950109288,2022-07-04T17.55.09.288,0.880,-0.061,0.061,-0.427
1656950109298,2022-07-04T17.55.09.298,0.890,0.427,-0.122,-0.610
1656950109309,2022-07-04T17.55.09.309,0.901,1.159,-0.305,-0.732
1656950109319,2022-07-04T17.55.09.319,0.911,1.159,-0.244,-0.671
1656950109329,2022-07-04T17.55.09.329,0.921,0.488,-0.244,-0.610
1656950109339,2022-07-04T17.55.09.339,0.931,-0.732,-0.305,-0.610
1656950109350,2022-07-04T17.55.09.350,0.942,-1.098,-0.793,-0.610
1656950109360,2022-07-04T17.55.09.360,0.952,-0.366,-0.610,-0.610
1656950109370,2022-07-04T17.55.09.370,0.962,0.793,-0.488,-0.610
1656950109380,2022-07-04T17.55.09.380,0.972,0.732,-0.549,-0.610
1656950109391,2022-07-04T17.55.09.391,0.983,0.732,-0.732,-0.671
1656950109401,2022-07-04T17.55.09.401,0.993,0.610,-0.610,-0.366
1656950109410,2022-07-04T17.55.09.410,1.002,0.427,-0.305,-0.305
1656950109420,2022-07-04T17.55.09.420,1.012,0.305,-0.366,-0.488
1656950109430,2022-07-04T17.55.09.430,1.022,-0.549,-0.305,-0.549
1656950109441,2022-07-04T17.55.09.441,1.033,-0.488,-0.122,-0.610
1656950109451,2022-07-04T17.55.09.451,1.043,-0.366,-0.122,-0.549
1656950109461,2022-07-04T17.55.09.461,1.053,-0.305,-0.366,-0.732
1656950109471,2022-07-04T17.55.09.471,1.063,-0.366,-0.427,-0.549
