epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1656950109475,2022-07-04T17.55.09.475,0.000,-1.017,-0.257,-0.169
1656950109485,2022-07-04T17.55.09.485,0.010,-1.027,-0.258,-0.169
1656950109495,2022-07-04T17.55.09.495,0.020,-1.027,-0.252,-0.169
1656950109505,2022-07-04T17.55.09.505,0.030,-1.029,-0.253,-0.171
1656950109516,2022-07-04T17.55.09.516,0.041,-1.024,-0.255,-0.173
1656950109526,2022-07-04T17.55.09.526,0.051,-1.027,-0.253,-0.175
1656950109535,2022-07-04T17.55.09.535,0.060,-1.030,-0.251,-0.166
1656950109545,2022-07-04T17.55.09.545,0.070,-1.033,-0.251,-0.168
1656950109555,2022-07-04T17.55.09.555,0.080,-1.032,-0.248,-0.174
1656950109566,2022-07-04T17.55.09.566,0.091,-1.033,-0.250,-0.172
1656950109576,2022-07-04T17.55.09.576,0.101,-1.034,-0.255,-0.170
1656950109586,2022-07-04T17.55.09.586,0.111,-1.032,-0.256,-0.168
1656950109596,2022-07-04T17.55.09.596,0.121,-1.027,-0.255,-0.175
1656950109605,2022-07-04T17.55.09.605,0.130,-1.023,-0.255,-0.175
1656950109615,2022-07-04T17.55.09.615,0.140,-1.030,-0.250,-0.169
1656950109626,2022-07-04T17.55.09.626,0.151,-1.028,-0.250,-0.178
1656950109636,2022-07-04T17.55.09.636,0.161,-1.021,-0.254,-0.178
1656950109646,2022-07-04T17.55.09.646,0.171,-1.026,-0.258,-0.174
1656950109656,2022-07-04T17.55.09.656,0.181,-1.031,-0.260,-0.167
1656950109667,2022-07-04T17.55.09.667,0.192,-1.030,-0.260,-0.172
1656950109675,2022-07-04T17.55.09.675,0.200,-1.027,-0.259,-0.174
1656950109686,2022-07-04T17.55.09.686,0.211,-1.023,-0.255,-0.165
1656950109696,2022-07-04T17.55.09.696,0.221,-1.028,-0.251,-0.169
1656950109706,2022-07-04T17.55.09.706,0.231,-1.030,-0.249,-0.177
1656950109716,2022-07-04T17.55.09.716,0.241,-1.027,-0.252,-0.174
1656950109727,2022-07-04T17.55.09.727,0.252,-1.026,-0.251,-0.167
1656950109735,2022-07-04T17.55.09.735,0.260,-1.028,-0.251,-0.169
1656950109746,2022-07-04T17.55.09.746,0.271,-1.028,-0.254,-0.173
1656950109756,2022-07-04T17.55.09.756,0.281,-1.027,-0.256,-0.162
1656950109766,2022-07-04T17.55.09.766,0.291,-1.030,-0.256,-0.166
1656950109776,2022-07-04T17.55.09.776,0.301,-1.030,-0.262,-0.172
1656950109787,2022-07-04T17.55.09.787,0.312,-1.029,-0.264,-0.171
1656950109797,2022-07-04T17.55.09.797,0.322,-1.027,-0.261,-0.169
1656950109806,2022-07-04T17.55.09.806,0.331,-1.022,-0.257,-0.166
1656950109816,2022-07-04T17.55.09.816,0.341,-1.027,-0.251,-0.171
1656950109826,2022-07-04T17.55.09.826,0.351,-1.026,-0.253,-0.176
1656950109837,2022-07-04T17.55.09.837,0.362,-1.027,-0.254,-0.167
1656950109847,2022-07-04T17.55.09.847,0.372,-1.032,-0.251,-0.167
1656950109857,2022-07-04T17.55.09.857,0.382,-1.030,-0.253,-0.169
1656950109866,2022-07-04T17.55.09.866,0.391,-1.027,-0.250,-0.176
1656950109876,2022-07-04T17.55.09.876,0.401,-1.027,-0.255,-0.175
1656950109886,2022-07-04T17.55.09.886,0.411,-1.034,-0.256,-0.172
1656950109897,2022-07-04T17.55.09.897,0.422,-1.032,-0.260,-0.167
1656950109907,2022-07-04T17.55.09.907,0.432,-1.032,-0.253,-0.168
1656950109917,2022-07-04T17.55.09.917,0.442,-1.029,-0.251,-0.172
1656950109927,2022-07-04T17.55.09.927,0.452,-1.021,-0.250,-0.176
1656950109936,2022-07-04T17.55.09.936,0.461,-1.024,-0.251,-0.173
1656950109946,2022-07-04T17.55.09.946,0.471,-1.028,-0.253,-0.171
1656950109957,2022-07-04T17.55.09.957,0.482,-1.027,-0.250,-0.177
1656950109967,2022-07-04T17.55.09.967,0.492,-1.032,-0.250,-0.169
1656950109977,2022-07-04T17.55.09.977,0.502,-1.034,-0.252,-0.167
1656950109987,2022-07-04T17.55.09.987,0.512,-1.033,-0.247,-0.176
1656950109996,2022-07-04T17.55.09.996,0.521,-1.030,-0.251,-0.181
1656950110006,2022-07-04T17.55.10.006,0.531,-1.033,-0.257,-0.171
1656950110017,2022-07-04T17.55.10.017,0.542,-1.034,-0.255,-0.167
1656950110027,2022-07-04T17.55.10.027,0.552,-1.032,-0.254,-0.179
1656950110037,2022-07-04T17.55.10.037,0.562,-1.028,-0.256,-0.174
1656950110047,2022-07-04T17.55.10.047,0.572,-1.026,-0.256,-0.165
1656950110058,2022-07-04T17.55.10.058,0.583,-1.023,-0.252,-0.174
1656950110067,2022-07-04T17.55.10.067,0.592,-1.021,-0.252,-0.172
1656950110077,2022-07-04T17.55.10.077,0.602,-1.019,-0.252,-0.172
1656950110087,2022-07-04T17.55.10.087,0.612,-1.024,-0.257,-0.177
1656950110097,2022-07-04T17.55.10.097,0.622,-1.027,-0.259,-0.175
1656950110108,2022-07-04T17.55.10.108,0.633,-1.027,-0.260,-0.166
1656950110118,2022-07-04T17.55.10.118,0.643,-1.026,-0.259,-0.169
1656950110127,2022-07-04T17.55.10.127,0.652,-1.030,-0.253,-0.170
1656950110137,2022-07-04T17.55.10.137,0.662,-1.036,-0.251,-0.175
1656950110147,2022-07-04T17.55.10.147,0.672,-1.034,-0.250,-0.179
1656950110157,2022-07-04T17.55.10.157,0.682,-1.025,-0.252,-0.172
1656950110168,2022-07-04T17.55.10.168,0.693,-1.027,-0.256,-0.175
1656950110178,2022-07-04T17.55.10.178,0.703,-1.027,-0.260,-0.173
1656950110188,2022-07-04T17.55.10.188,0.713,-1.025,-0.258,-0.170
1656950110197,2022-07-04T17.55.10.197,0.722,-1.021,-0.253,-0.182
1656950110207,2022-07-04T17.55.10.207,0.732,-1.019,-0.255,-0.178
1656950110217,2022-07-04T17.55.10.217,0.742,-1.026,-0.258,-0.167
1656950110228,2022-07-04T17.55.10.228,0.753,-1.035,-0.254,-0.174
1656950110238,2022-07-04T17.55.10.238,0.763,-1.028,-0.250,-0.178
1656950110248,2022-07-04T17.55.10.248,0.773,-1.030,-0.249,-0.174
1656950110257,2022-07-04T17.55.10.257,0.782,-1.039,-0.244,-0.169
1656950110267,2022-07-04T17.55.10.267,0.792,-1.040,-0.245,-0.171
1656950110277,2022-07-04T17.55.10.277,0.802,-1.031,-0.253,-0.180
1656950110288,2022-07-04T17.55.10.288,0.813,-1.029,-0.257,-0.180
1656950110298,2022-07-04T17.55.10.298,0.823,-1.034,-0.254,-0.175
1656950110308,2022-07-04T17.55.10.308,0.833,-1.028,-0.252,-0.176
1656950110318,2022-07-04T17.55.10.318,0.843,-1.025,-0.251,-0.180
1656950110327,2022-07-04T17.55.10.327,0.852,-1.024,-0.253,-0.176
1656950110338,2022-07-04T17.55.10.338,0.863,-1.027,-0.253,-0.169
1656950110348,2022-07-04T17.55.10.348,0.873,-1.028,-0.253,-0.177
1656950110358,2022-07-04T17.55.10.358,0.883,-1.025,-0.252,-0.172
1656950110368,2022-07-04T17.55.10.368,0.893,-1.026,-0.255,-0.171
1656950110379,2022-07-04T17.55.10.379,0.904,-1.026,-0.258,-0.176
1656950110389,2022-07-04T17.55.10.389,0.914,-1.031,-0.254,-0.170
1656950110398,2022-07-04T17.55.10.398,0.923,-1.030,-0.254,-0.167
1656950110408,2022-07-04T17.55.10.408,0.933,-1.031,-0.249,-0.172
1656950110418,2022-07-04T17.55.10.418,0.943,-1.029,-0.249,-0.178
1656950110428,2022-07-04T17.55.10.428,0.953,-1.032,-0.257,-0.177
1656950110439,2022-07-04T17.55.10.439,0.964,-1.033,-0.261,-0.175
1656950110449,2022-07-04T17.55.10.449,0.974,-1.030,-0.256,-0.169
1656950110458,2022-07-04T17.55.10.458,0.983,-1.023,-0.253,-0.175
1656950110468,2022-07-04T17.55.10.468,0.993,-1.021,-0.252,-0.172
1656950110478,2022-07-04T17.55.10.478,1.003,-1.029,-0.257,-0.165
1656950110488,2022-07-04T17.55.10.488,1.013,-1.030,-0.256,-0.170
1656950110499,2022-07-04T17.55.10.499,1.024,-1.026,-0.258,-0.177
1656950110509,2022-07-04T17.55.10.509,1.034,-1.025,-0.252,-0.178
1656950110518,2022-07-04T17.55.10.518,1.043,-1.027,-0.250,-0.170
1656950110528,2022-07-04T17.55.10.528,1.053,-1.028,-0.250,-0.178
1656950110538,2022-07-04T17.55.10.538,1.063,-1.027,-0.257,-0.177
1656950110548,2022-07-04T17.55.10.548,1.073,-1.028,-0.262,-0.167
1656950110559,2022-07-04T17.55.10.559,1.084,-1.035,-0.256,-0.167
1656950110569,2022-07-04T17.55.10.569,1.094,-1.030,-0.254,-0.179
1656950110579,2022-07-04T17.55.10.579,1.104,-1.026,-0.254,-0.178
1656950110588,2022-07-04T17.55.10.588,1.113,-1.031,-0.250,-0.175
1656950110598,2022-07-04T17.55.10.598,1.123,-1.033,-0.250,-0.172
1656950110609,2022-07-04T17.55.10.609,1.134,-1.029,-0.253,-0.170
1656950110619,2022-07-04T17.55.10.619,1.144,-1.025,-0.256,-0.169
1656950110629,2022-07-04T17.55.10.629,1.154,-1.025,-0.252,-0.171
1656950110639,2022-07-04T17.55.10.639,1.164,-1.025,-0.250,-0.176
