epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1656950109495,2022-07-04T17.55.09.495,0.000,0.793,-0.427,0.061
1656950109505,2022-07-04T17.55.09.505,0.010,0.915,0.061,-0.061
1656950109516,2022-07-04T17.55.09.516,0.021,0.366,-0.488,0.244
1656950109526,2022-07-04T17.55.09.526,0.031,-0.122,-0.305,0.183
1656950109536,2022-07-04T17.55.09.536,0.041,-0.549,0.122,0.000
1656950109545,2022-07-04T17.55.09.545,0.050,-0.122,-0.122,0.122
1656950109555,2022-07-04T17.55.09.555,0.060,-0.122,-0.183,0.061
1656950109566,2022-07-04T17.55.09.566,0.071,-0.305,-0.061,0.061
1656950109576,2022-07-04T17.55.09.576,0.081,-0.244,0.061,0.000
1656950109586,2022-07-04T17.55.09.586,0.091,-0.183,-0.061,-0.183
1656950109596,2022-07-04T17.55.09.596,0.101,0.610,-0.183,-0.061
1656950109607,2022-07-04T17.55.09.607,0.112,0.610,-0.061,0.061
1656950109615,2022-07-04T17.55.09.615,0.120,0.183,-0.061,-0.061
1656950109626,2022-07-04T17.55.09.626,0.131,0.061,-0.305,0.000
1656950109636,2022-07-04T17.55.09.636,0.141,-0.366,-0.061,0.061
1656950109646,2022-07-04T17.55.09.646,0.151,-0.427,0.061,0.000
1656950109656,2022-07-04T17.55.09.656,0.161,-0.244,-0.244,0.122
1656950109667,2022-07-04T17.55.09.667,0.172,0.061,-0.610,0.122
1656950109675,2022-07-04T17.55.09.675,0.180,0.305,-0.671,0.000
1656950109686,2022-07-04T17.55.09.686,0.191,0.793,-0.366,-0.061
1656950109696,2022-07-04T17.55.09.696,0.201,0.976,-0.427,0.061
1656950109706,2022-07-04T17.55.09.706,0.211,1.098,-0.488,0.244
1656950109716,2022-07-04T17.55.09.716,0.221,0.427,-0.366,0.244
1656950109727,2022-07-04T17.55.09.727,0.232,-0.366,-0.183,-0.061
1656950109735,2022-07-04T17.55.09.735,0.240,-0.427,-0.183,-0.183
1656950109746,2022-07-04T17.55.09.746,0.251,-0.793,-0.244,-0.183
1656950109756,2022-07-04T17.55.09.756,0.261,-1.402,0.122,-0.183
1656950109766,2022-07-04T17.55.09.766,0.271,-0.854,-0.061,-0.183
1656950109776,2022-07-04T17.55.09.776,0.281,-0.427,0.061,-0.183
1656950109787,2022-07-04T17.55.09.787,0.292,-0.061,0.244,-0.061
1656950109797,2022-07-04T17.55.09.797,0.302,0.305,0.244,0.061
1656950109806,2022-07-04T17.55.09.806,0.311,0.488,0.427,0.122
1656950109816,2022-07-04T17.55.09.816,0.321,0.854,0.366,0.183
1656950109826,2022-07-04T17.55.09.826,0.331,0.549,0.305,0.427
1656950109837,2022-07-04T17.55.09.837,0.342,-0.366,0.366,0.427
1656950109847,2022-07-04T17.55.09.847,0.352,-0.183,-0.061,0.305
1656950109857,2022-07-04T17.55.09.857,0.362,-0.305,-0.122,0.122
1656950109866,2022-07-04T17.55.09.866,0.371,0.122,-0.427,0.244
1656950109876,2022-07-04T17.55.09.876,0.381,0.000,0.000,0.427
1656950109886,2022-07-04T17.55.09.886,0.391,-0.122,0.549,0.427
1656950109897,2022-07-04T17.55.09.897,0.402,0.183,0.366,0.427
1656950109907,2022-07-04T17.55.09.907,0.412,0.122,0.122,0.183
1656950109917,2022-07-04T17.55.09.917,0.422,-0.061,-0.122,0.122
1656950109927,2022-07-04T17.55.09.927,0.432,-0.122,-0.122,0.244
1656950109936,2022-07-04T17.55.09.936,0.441,-0.671,0.305,0.183
1656950109946,2022-07-04T17.55.09.946,0.451,-0.183,0.366,0.061
1656950109957,2022-07-04T17.55.09.957,0.462,0.488,0.305,-0.122
1656950109967,2022-07-04T17.55.09.967,0.472,-0.549,0.427,-0.122
1656950109977,2022-07-04T17.55.09.977,0.482,-0.732,0.061,-0.122
1656950109987,2022-07-04T17.55.09.987,0.492,-0.305,-0.244,-0.061
1656950109996,2022-07-04T17.55.09.996,0.501,0.366,-0.122,0.122
1656950110006,2022-07-04T17.55.10.006,0.511,0.305,0.305,0.122
1656950110017,2022-07-04T17.55.10.017,0.522,0.671,0.122,0.061
1656950110027,2022-07-04T17.55.10.027,0.532,1.220,0.000,0.061
1656950110037,2022-07-04T17.55.10.037,0.542,0.427,0.244,0.122
1656950110047,2022-07-04T17.55.10.047,0.552,0.244,0.244,-0.122
1656950110058,2022-07-04T17.55.10.058,0.563,0.427,-0.183,-0.244
1656950110067,2022-07-04T17.55.10.067,0.572,-0.427,-0.183,-0.122
1656950110077,2022-07-04T17.55.10.077,0.582,-0.915,-0.061,-0.061
1656950110087,2022-07-04T17.55.10.087,0.592,-0.793,0.183,-0.061
1656950110097,2022-07-04T17.55.10.097,0.602,-0.854,0.122,0.061
1656950110108,2022-07-04T17.55.10.108,0.613,-1.098,0.061,0.122
1656950110118,2022-07-04T17.55.10.118,0.623,-0.549,0.122,-0.061
1656950110127,2022-07-04T17.55.10.127,0.632,0.061,0.183,0.122
1656950110137,2022-07-04T17.55.10.137,0.642,-0.122,0.122,0.244
1656950110147,2022-07-04T17.55.10.147,0.652,-0.427,0.122,0.122
1656950110157,2022-07-04T17.55.10.157,0.662,-0.305,0.244,0.061
1656950110168,2022-07-04T17.55.10.168,0.673,-0.244,0.244,0.061
1656950110178,2022-07-04T17.55.10.178,0.683,-0.366,0.244,0.122
1656950110188,2022-07-04T17.55.10.188,0.693,-0.488,0.061,0.122
1656950110197,2022-07-04T17.55.10.197,0.702,-0.061,0.000,0.183
1656950110207,2022-07-04T17.55.10.207,0.712,-0.122,0.305,0.366
1656950110217,2022-07-04T17.55.10.217,0.722,0.183,0.549,0.427
1656950110228,2022-07-04T17.55.10.228,0.733,1.280,0.183,0.366
1656950110238,2022-07-04T17.55.10.238,0.743,0.976,0.061,0.366
1656950110248,2022-07-04T17.55.10.248,0.753,0.061,0.305,0.122
1656950110258,2022-07-04T17.55.10.258,0.763,-0.122,0.366,-0.061
1656950110267,2022-07-04T17.55.10.267,0.772,-0.061,-0.183,0.122
1656950110277,2022-07-04T17.55.10.277,0.782,-0.305,-0.427,0.244
1656950110288,2022-07-04T17.55.10.288,0.793,-0.732,0.000,0.122
1656950110298,2022-07-04T17.55.10.298,0.803,-0.427,0.061,-0.061
1656950110308,2022-07-04T17.55.10.308,0.813,0.183,-0.122,0.122
1656950110318,2022-07-04T17.55.10.318,0.823,0.732,0.061,0.366
1656950110327,2022-07-04T17.55.10.327,0.832,0.366,0.183,0.183
1656950110338,2022-07-04T17.55.10.338,0.843,-0.061,0.122,0.000
1656950110348,2022-07-04T17.55.10.348,0.853,-0.061,-0.061,0.122
1656950110358,2022-07-04T17.55.10.358,0.863,-0.183,-0.061,0.000
1656950110368,2022-07-04T17.55.10.368,0.873,0.061,-0.122,0.000
1656950110379,2022-07-04T17.55.10.379,0.884,0.305,-0.305,0.183
1656950110389,2022-07-04T17.55.10.389,0.894,-0.366,0.061,0.061
1656950110398,2022-07-04T17.55.10.398,0.903,-0.488,0.061,-0.061
1656950110408,2022-07-04T17.55.10.408,0.913,-0.122,-0.244,-0.061
1656950110418,2022-07-04T17.55.10.418,0.923,0.244,-0.305,0.061
1656950110428,2022-07-04T17.55.10.428,0.933,0.549,0.000,0.183
1656950110439,2022-07-04T17.55.10.439,0.944,0.427,-0.061,0.000
1656950110449,2022-07-04T17.55.10.449,0.954,0.000,-0.244,-0.122
1656950110458,2022-07-04T17.55.10.458,0.963,0.427,-0.488,0.000
1656950110468,2022-07-04T17.55.10.468,0.973,0.305,-0.122,0.183
1656950110478,2022-07-04T17.55.10.478,0.983,-0.244,0.122,0.183
1656950110488,2022-07-04T17.55.10.488,0.993,-0.061,-0.244,0.244
1656950110499,2022-07-04T17.55.10.499,1.004,-0.122,-0.122,0.244
1656950110509,2022-07-04T17.55.10.509,1.014,-0.244,0.244,0.061
1656950110518,2022-07-04T17.55.10.518,1.023,-0.671,0.244,-0.122
