epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1656950108335,2022-07-04T17.55.08.335,0.000,1.768,-0.488,-1.098
1656950108346,2022-07-04T17.55.08.346,0.011,2.134,-0.549,-0.854
1656950108354,2022-07-04T17.55.08.354,0.019,2.195,-0.366,-1.037
1656950108365,2022-07-04T17.55.08.365,0.030,2.439,-0.061,-0.976
1656950108375,2022-07-04T17.55.08.375,0.040,2.378,0.244,-0.854
1656950108385,2022-07-04T17.55.08.385,0.050,2.012,0.366,-0.488
1656950108394,2022-07-04T17.55.08.394,0.059,1.341,0.366,-0.244
1656950108404,2022-07-04T17.55.08.404,0.069,0.793,0.549,0.000
1656950108414,2022-07-04T17.55.08.414,0.079,0.366,0.671,0.122
1656950108423,2022-07-04T17.55.08.423,0.088,-0.183,0.671,0.305
1656950108433,2022-07-04T17.55.08.433,0.098,-0.793,1.037,0.366
1656950108444,2022-07-04T17.55.08.444,0.109,-1.159,1.220,0.427
1656950108454,2022-07-04T17.55.08.454,0.119,-1.159,1.341,0.427
1656950108463,2022-07-04T17.55.08.463,0.128,-1.159,1.585,0.427
1656950108473,2022-07-04T17.55.08.473,0.138,-1.280,1.951,0.366
1656950108483,2022-07-04T17.55.08.483,0.148,-1.585,2.134,0.183
1656950108494,2022-07-04T17.55.08.494,0.159,-1.768,2.317,0.305
1656950108502,2022-07-04T17.55.08.502,0.167,-2.134,2.378,0.488
1656950108513,2022-07-04T17.55.08.513,0.178,-2.256,2.134,0.671
1656950108523,2022-07-04T17.55.08.523,0.188,-1.951,2.012,0.915
1656950108532,2022-07-04T17.55.08.532,0.197,-1.768,1.951,0.976
1656950108542,2022-07-04T17.55.08.542,0.207,-1.646,1.707,0.976
1656950108552,2022-07-04T17.55.08.552,0.217,-1.646,1.463,0.854
1656950108562,2022-07-04T17.55.08.562,0.227,-1.524,1.524,0.793
1656950108571,2022-07-04T17.55.08.571,0.236,-1.524,1.524,0.732
1656950108581,2022-07-04T17.55.08.581,0.246,-1.585,1.463,0.549
1656950108592,2022-07-04T17.55.08.592,0.257,-1.463,1.341,0.427
1656950108602,2022-07-04T17.55.08.602,0.267,-1.037,1.280,0.244
1656950108611,2022-07-04T17.55.08.611,0.276,-0.732,1.098,0.244
1656950108621,2022-07-04T17.55.08.621,0.286,-0.549,0.854,0.244
1656950108631,2022-07-04T17.55.08.631,0.296,-0.427,0.549,0.183
1656950108641,2022-07-04T17.55.08.641,0.306,-0.244,0.427,0.061
1656950108650,2022-07-04T17.55.08.650,0.315,-0.122,0.427,-0.061
1656950108661,2022-07-04T17.55.08.661,0.326,-0.305,0.366,-0.183
1656950108671,2022-07-04T17.55.08.671,0.336,-0.671,0.366,-0.366
1656950108680,2022-07-04T17.55.08.680,0.345,-0.976,0.549,-0.427
1656950108690,2022-07-04T17.55.08.690,0.355,-1.159,0.671,-0.610
1656950108700,2022-07-04T17.55.08.700,0.365,-0.854,0.793,-0.610
1656950108710,2022-07-04T17.55.08.710,0.375,-0.793,0.854,-0.488
1656950108719,2022-07-04T17.55.08.719,0.384,-0.976,0.793,-0.305
