epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1649955647344,2022-04-14T19.00.47.344,0.000,-1.021,-0.077,-0.035
1649955647354,2022-04-14T19.00.47.354,0.010,-1.030,-0.078,-0.034
1649955647364,2022-04-14T19.00.47.364,0.020,-1.023,-0.076,-0.032
1649955647373,2022-04-14T19.00.47.373,0.029,-1.019,-0.078,-0.039
1649955647384,2022-04-14T19.00.47.384,0.040,-1.023,-0.084,-0.030
1649955647394,2022-04-14T19.00.47.394,0.050,-1.020,-0.083,-0.025
1649955647404,2022-04-14T19.00.47.404,0.060,-1.005,-0.081,-0.036
1649955647414,2022-04-14T19.00.47.414,0.070,-1.006,-0.092,-0.044
1649955647425,2022-04-14T19.00.47.425,0.081,-1.011,-0.100,-0.039
1649955647433,2022-04-14T19.00.47.433,0.089,-1.006,-0.093,-0.036
1649955647444,2022-04-14T19.00.47.444,0.100,-1.005,-0.082,-0.042
1649955647454,2022-04-14T19.00.47.454,0.110,-1.015,-0.083,-0.048
1649955647464,2022-04-14T19.00.47.464,0.120,-1.025,-0.083,-0.042
1649955647474,2022-04-14T19.00.47.474,0.130,-1.026,-0.088,-0.043
1649955647483,2022-04-14T19.00.47.483,0.139,-1.020,-0.096,-0.040
1649955647493,2022-04-14T19.00.47.493,0.149,-1.019,-0.098,-0.033
1649955647504,2022-04-14T19.00.47.504,0.160,-1.013,-0.089,-0.030
1649955647514,2022-04-14T19.00.47.514,0.170,-1.007,-0.090,-0.033
1649955647524,2022-04-14T19.00.47.524,0.180,-1.010,-0.107,-0.021
1649955647533,2022-04-14T19.00.47.533,0.189,-1.005,-0.107,-0.014
1649955647543,2022-04-14T19.00.47.543,0.199,-0.993,-0.088,-0.030
1649955647553,2022-04-14T19.00.47.553,0.209,-0.993,-0.085,-0.039
1649955647564,2022-04-14T19.00.47.564,0.220,-1.008,-0.093,-0.031
1649955647574,2022-04-14T19.00.47.574,0.230,-1.021,-0.090,-0.030
1649955647583,2022-04-14T19.00.47.583,0.239,-1.016,-0.075,-0.042
1649955647593,2022-04-14T19.00.47.593,0.249,-1.026,-0.068,-0.040
1649955647603,2022-04-14T19.00.47.603,0.259,-1.039,-0.070,-0.044
1649955647614,2022-04-14T19.00.47.614,0.270,-1.036,-0.078,-0.046
1649955647624,2022-04-14T19.00.47.624,0.280,-1.031,-0.088,-0.034
1649955647633,2022-04-14T19.00.47.633,0.289,-1.021,-0.087,-0.023
1649955647643,2022-04-14T19.00.47.643,0.299,-1.014,-0.079,-0.020
1649955647653,2022-04-14T19.00.47.653,0.309,-1.015,-0.080,-0.024
1649955647663,2022-04-14T19.00.47.663,0.319,-1.014,-0.076,-0.032
1649955647674,2022-04-14T19.00.47.674,0.330,-0.987,-0.054,-0.048
1649955647682,2022-04-14T19.00.47.682,0.338,-0.985,-0.084,-0.085
1649955647693,2022-04-14T19.00.47.693,0.349,-1.035,-0.127,-0.046
1649955647703,2022-04-14T19.00.47.703,0.359,-1.042,-0.093,-0.003
1649955647713,2022-04-14T19.00.47.713,0.369,-0.978,-0.032,-0.068
1649955647723,2022-04-14T19.00.47.723,0.379,-1.004,-0.072,-0.093
1649955647734,2022-04-14T19.00.47.734,0.390,-1.082,-0.142,-0.000
