epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1649955157578,2022-04-14T18.52.37.578,0.000,1.280,-0.061,0.305
1649955157586,2022-04-14T18.52.37.586,0.008,1.159,-0.244,1.098
1649955157597,2022-04-14T18.52.37.597,0.019,1.768,-0.244,0.732
1649955157607,2022-04-14T18.52.37.607,0.029,1.951,0.000,0.427
1649955157617,2022-04-14T18.52.37.617,0.039,1.829,0.061,0.671
1649955157627,2022-04-14T18.52.37.627,0.049,1.646,0.122,0.488
1649955157636,2022-04-14T18.52.37.636,0.058,0.610,0.061,0.244
1649955157646,2022-04-14T18.52.37.646,0.068,-0.122,0.000,0.061
1649955157657,2022-04-14T18.52.37.657,0.079,-0.488,0.061,0.122
1649955157667,2022-04-14T18.52.37.667,0.089,-0.366,0.061,0.122
1649955157677,2022-04-14T18.52.37.677,0.099,-0.061,0.000,0.061
1649955157686,2022-04-14T18.52.37.686,0.108,0.366,0.000,0.183
1649955157696,2022-04-14T18.52.37.696,0.118,1.098,0.061,0.244
1649955157706,2022-04-14T18.52.37.706,0.128,1.280,-0.061,0.366
1649955157717,2022-04-14T18.52.37.717,0.139,0.915,-0.305,0.366
1649955157727,2022-04-14T18.52.37.727,0.149,1.037,-0.305,0.549
1649955157737,2022-04-14T18.52.37.737,0.159,1.220,-0.244,0.671
1649955157746,2022-04-14T18.52.37.746,0.168,1.159,-0.366,0.671
1649955157756,2022-04-14T18.52.37.756,0.178,0.976,-0.305,0.549
1649955157767,2022-04-14T18.52.37.767,0.189,0.732,-0.183,0.488
1649955157777,2022-04-14T18.52.37.777,0.199,0.549,0.000,0.366
1649955157787,2022-04-14T18.52.37.787,0.209,0.061,0.061,0.244
1649955157796,2022-04-14T18.52.37.796,0.218,-0.244,0.000,0.366
1649955157806,2022-04-14T18.52.37.806,0.228,-0.244,0.122,0.366
1649955157816,2022-04-14T18.52.37.816,0.238,-0.366,0.122,0.366
1649955157827,2022-04-14T18.52.37.827,0.249,0.122,0.122,0.549
1649955157837,2022-04-14T18.52.37.837,0.259,1.159,0.061,0.549
1649955157846,2022-04-14T18.52.37.846,0.268,1.463,-0.183,0.610
1649955157856,2022-04-14T18.52.37.856,0.278,1.402,-0.366,0.549
1649955157866,2022-04-14T18.52.37.866,0.288,1.524,-0.549,0.488
1649955157876,2022-04-14T18.52.37.876,0.298,1.280,-0.610,0.549
1649955157887,2022-04-14T18.52.37.887,0.309,0.976,-0.488,0.488
1649955157895,2022-04-14T18.52.37.895,0.317,0.610,-0.183,0.366
1649955157906,2022-04-14T18.52.37.906,0.328,0.305,-0.061,0.366
