epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1649955157346,2022-04-14T18.52.37.346,0.000,0.823,-0.582,-0.048
1649955157356,2022-04-14T18.52.37.356,0.010,0.829,-0.590,-0.046
1649955157365,2022-04-14T18.52.37.365,0.019,0.823,-0.590,-0.043
1649955157375,2022-04-14T18.52.37.375,0.029,0.818,-0.595,-0.051
1649955157385,2022-04-14T18.52.37.385,0.039,0.810,-0.590,-0.054
1649955157396,2022-04-14T18.52.37.396,0.050,0.802,-0.575,-0.050
1649955157406,2022-04-14T18.52.37.406,0.060,0.796,-0.573,-0.057
1649955157416,2022-04-14T18.52.37.416,0.070,0.800,-0.579,-0.070
1649955157427,2022-04-14T18.52.37.427,0.081,0.810,-0.582,-0.074
1649955157435,2022-04-14T18.52.37.435,0.089,0.815,-0.582,-0.066
1649955157446,2022-04-14T18.52.37.446,0.100,0.820,-0.583,-0.061
1649955157456,2022-04-14T18.52.37.456,0.110,0.823,-0.587,-0.053
1649955157466,2022-04-14T18.52.37.466,0.120,0.828,-0.588,-0.046
1649955157476,2022-04-14T18.52.37.476,0.130,0.823,-0.581,-0.046
1649955157487,2022-04-14T18.52.37.487,0.141,0.818,-0.578,-0.050
1649955157495,2022-04-14T18.52.37.495,0.149,0.814,-0.575,-0.053
1649955157506,2022-04-14T18.52.37.506,0.160,0.810,-0.574,-0.056
1649955157516,2022-04-14T18.52.37.516,0.170,0.809,-0.569,-0.061
1649955157526,2022-04-14T18.52.37.526,0.180,0.808,-0.568,-0.062
1649955157536,2022-04-14T18.52.37.536,0.190,0.810,-0.569,-0.065
1649955157547,2022-04-14T18.52.37.547,0.201,0.816,-0.573,-0.065
1649955157557,2022-04-14T18.52.37.557,0.211,0.821,-0.574,-0.062
1649955157566,2022-04-14T18.52.37.566,0.220,0.824,-0.578,-0.058
1649955157576,2022-04-14T18.52.37.576,0.230,0.826,-0.580,-0.053
1649955157586,2022-04-14T18.52.37.586,0.240,0.828,-0.587,-0.052
1649955157596,2022-04-14T18.52.37.596,0.250,0.827,-0.592,-0.050
1649955157607,2022-04-14T18.52.37.607,0.261,0.822,-0.592,-0.044
1649955157617,2022-04-14T18.52.37.617,0.271,0.817,-0.588,-0.050
1649955157627,2022-04-14T18.52.37.627,0.281,0.807,-0.581,-0.055
1649955157636,2022-04-14T18.52.37.636,0.290,0.803,-0.578,-0.059
1649955157646,2022-04-14T18.52.37.646,0.300,0.799,-0.574,-0.060
1649955157656,2022-04-14T18.52.37.656,0.310,0.801,-0.572,-0.063
1649955157667,2022-04-14T18.52.37.667,0.321,0.802,-0.572,-0.065
1649955157677,2022-04-14T18.52.37.677,0.331,0.811,-0.572,-0.066
1649955157687,2022-04-14T18.52.37.687,0.341,0.816,-0.580,-0.062
1649955157696,2022-04-14T18.52.37.696,0.350,0.824,-0.583,-0.054
1649955157706,2022-04-14T18.52.37.706,0.360,0.828,-0.583,-0.052
1649955157717,2022-04-14T18.52.37.717,0.371,0.827,-0.583,-0.052
1649955157727,2022-04-14T18.52.37.727,0.381,0.827,-0.583,-0.049
1649955157737,2022-04-14T18.52.37.737,0.391,0.823,-0.582,-0.045
1649955157747,2022-04-14T18.52.37.747,0.401,0.819,-0.583,-0.047
1649955157758,2022-04-14T18.52.37.758,0.412,0.811,-0.581,-0.050
1649955157766,2022-04-14T18.52.37.766,0.420,0.805,-0.576,-0.056
1649955157777,2022-04-14T18.52.37.777,0.431,0.798,-0.574,-0.058
1649955157787,2022-04-14T18.52.37.787,0.441,0.798,-0.568,-0.062
1649955157797,2022-04-14T18.52.37.797,0.451,0.803,-0.568,-0.063
1649955157807,2022-04-14T18.52.37.807,0.461,0.807,-0.570,-0.068
1649955157818,2022-04-14T18.52.37.818,0.472,0.812,-0.575,-0.066
1649955157828,2022-04-14T18.52.37.828,0.482,0.821,-0.582,-0.064
1649955157837,2022-04-14T18.52.37.837,0.491,0.832,-0.591,-0.064
1649955157847,2022-04-14T18.52.37.847,0.501,0.832,-0.595,-0.055
1649955157857,2022-04-14T18.52.37.857,0.511,0.831,-0.594,-0.051
1649955157867,2022-04-14T18.52.37.867,0.521,0.824,-0.591,-0.048
1649955157878,2022-04-14T18.52.37.878,0.532,0.815,-0.589,-0.044
1649955157888,2022-04-14T18.52.37.888,0.542,0.809,-0.585,-0.047
1649955157898,2022-04-14T18.52.37.898,0.552,0.803,-0.581,-0.051
1649955157907,2022-04-14T18.52.37.907,0.561,0.797,-0.578,-0.056
1649955157917,2022-04-14T18.52.37.917,0.571,0.797,-0.577,-0.063
1649955157927,2022-04-14T18.52.37.927,0.581,0.801,-0.574,-0.065
1649955157938,2022-04-14T18.52.37.938,0.592,0.805,-0.573,-0.062
1649955157948,2022-04-14T18.52.37.948,0.602,0.813,-0.576,-0.064
1649955157958,2022-04-14T18.52.37.958,0.612,0.821,-0.577,-0.062
1649955157967,2022-04-14T18.52.37.967,0.621,0.825,-0.577,-0.063
1649955157977,2022-04-14T18.52.37.977,0.631,0.826,-0.577,-0.057
1649955157988,2022-04-14T18.52.37.988,0.642,0.827,-0.579,-0.051
1649955157998,2022-04-14T18.52.37.998,0.652,0.826,-0.583,-0.055
1649955158008,2022-04-14T18.52.38.008,0.662,0.823,-0.581,-0.054
1649955158018,2022-04-14T18.52.38.018,0.672,0.818,-0.581,-0.053
1649955158029,2022-04-14T18.52.38.029,0.683,0.813,-0.582,-0.054
1649955158037,2022-04-14T18.52.38.037,0.691,0.812,-0.578,-0.055
1649955158048,2022-04-14T18.52.38.048,0.702,0.809,-0.576,-0.059
1649955158058,2022-04-14T18.52.38.058,0.712,0.809,-0.578,-0.056
1649955158068,2022-04-14T18.52.38.068,0.722,0.810,-0.579,-0.060
1649955158078,2022-04-14T18.52.38.078,0.732,0.811,-0.579,-0.058
1649955158089,2022-04-14T18.52.38.089,0.743,0.812,-0.581,-0.061
1649955158099,2022-04-14T18.52.38.099,0.753,0.815,-0.581,-0.061
1649955158108,2022-04-14T18.52.38.108,0.762,0.815,-0.582,-0.056
1649955158118,2022-04-14T18.52.38.118,0.772,0.817,-0.580,-0.057
1649955158128,2022-04-14T18.52.38.128,0.782,0.820,-0.583,-0.056
1649955158138,2022-04-14T18.52.38.138,0.792,0.821,-0.584,-0.055
1649955158149,2022-04-14T18.52.38.149,0.803,0.819,-0.582,-0.055
1649955158159,2022-04-14T18.52.38.159,0.813,0.818,-0.583,-0.057
1649955158169,2022-04-14T18.52.38.169,0.823,0.819,-0.581,-0.053
1649955158178,2022-04-14T18.52.38.178,0.832,0.813,-0.579,-0.056
1649955158188,2022-04-14T18.52.38.188,0.842,0.810,-0.580,-0.051
1649955158198,2022-04-14T18.52.38.198,0.852,0.808,-0.583,-0.055
1649955158209,2022-04-14T18.52.38.209,0.863,0.807,-0.579,-0.061
1649955158219,2022-04-14T18.52.38.219,0.873,0.809,-0.573,-0.062
1649955158229,2022-04-14T18.52.38.229,0.883,0.812,-0.573,-0.062
1649955158239,2022-04-14T18.52.38.239,0.893,0.815,-0.571,-0.058
1649955158248,2022-04-14T18.52.38.248,0.902,0.819,-0.577,-0.058
