epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1650898992366,2022-04-25T17.03.12.366,0.000,-0.854,-0.854,0.122
1650898992376,2022-04-25T17.03.12.376,0.010,-0.671,-1.159,-0.793
1650898992386,2022-04-25T17.03.12.386,0.020,-0.244,-0.549,-0.183
1650898992397,2022-04-25T17.03.12.397,0.031,0.244,-0.549,-0.061
1650898992406,2022-04-25T17.03.12.406,0.040,0.183,-0.610,-0.122
1650898992416,2022-04-25T17.03.12.416,0.050,-0.061,-0.549,-0.061
1650898992426,2022-04-25T17.03.12.426,0.060,-0.305,-0.488,-0.061
1650898992436,2022-04-25T17.03.12.436,0.070,-0.244,-0.366,-0.122
1650898992447,2022-04-25T17.03.12.447,0.081,0.122,-0.488,-0.244
1650898992457,2022-04-25T17.03.12.457,0.091,0.244,-0.427,-0.366
1650898992467,2022-04-25T17.03.12.467,0.101,0.122,-0.427,-0.488
1650898992476,2022-04-25T17.03.12.476,0.110,-0.061,-0.671,-0.610
1650898992486,2022-04-25T17.03.12.486,0.120,-0.427,-0.793,-0.671
1650898992496,2022-04-25T17.03.12.496,0.130,-0.488,-0.793,-0.610
1650898992507,2022-04-25T17.03.12.507,0.141,-0.549,-0.366,-0.610
1650898992517,2022-04-25T17.03.12.517,0.151,-0.488,-0.305,-0.366
1650898992527,2022-04-25T17.03.12.527,0.161,-0.366,-0.366,-0.244
1650898992537,2022-04-25T17.03.12.537,0.171,-0.366,-0.244,-0.427
1650898992546,2022-04-25T17.03.12.546,0.180,-0.244,-0.427,-0.488
1650898992556,2022-04-25T17.03.12.556,0.190,0.061,-0.488,-0.610
1650898992567,2022-04-25T17.03.12.567,0.201,0.305,-0.549,-0.732
1650898992577,2022-04-25T17.03.12.577,0.211,0.122,-0.610,-0.732
1650898992587,2022-04-25T17.03.12.587,0.221,0.000,-0.610,-0.854
1650898992597,2022-04-25T17.03.12.597,0.231,-0.305,-0.671,-0.915
1650898992608,2022-04-25T17.03.12.608,0.242,-0.549,-0.732,-0.976
1650898992616,2022-04-25T17.03.12.616,0.250,-0.732,-0.549,-0.854
1650898992627,2022-04-25T17.03.12.627,0.261,-1.159,-0.671,-0.976
1650898992637,2022-04-25T17.03.12.637,0.271,-1.159,-0.854,-0.915
1650898992647,2022-04-25T17.03.12.647,0.281,-0.915,-0.915,-0.793
1650898992657,2022-04-25T17.03.12.657,0.291,-0.427,-0.854,-0.671
1650898992668,2022-04-25T17.03.12.668,0.302,0.366,-0.854,-0.610
1650898992677,2022-04-25T17.03.12.677,0.311,0.915,-0.732,-0.549
1650898992687,2022-04-25T17.03.12.687,0.321,1.037,-0.549,-0.488
1650898992697,2022-04-25T17.03.12.697,0.331,1.159,-0.488,-0.366
1650898992707,2022-04-25T17.03.12.707,0.341,0.976,-0.549,-0.183
1650898992718,2022-04-25T17.03.12.718,0.352,0.366,-0.610,-0.061
1650898992728,2022-04-25T17.03.12.728,0.362,-0.244,-0.549,0.061
1650898992738,2022-04-25T17.03.12.738,0.372,-0.610,-0.488,0.183
1650898992747,2022-04-25T17.03.12.747,0.381,-0.610,-0.610,0.183
1650898992757,2022-04-25T17.03.12.757,0.391,-0.671,-0.671,0.000
1650898992767,2022-04-25T17.03.12.767,0.401,-0.854,-0.854,-0.244
1650898992778,2022-04-25T17.03.12.778,0.412,-0.793,-0.915,-0.427
1650898992788,2022-04-25T17.03.12.788,0.422,-0.854,-0.732,-0.671
1650898992798,2022-04-25T17.03.12.798,0.432,-0.549,-0.854,-0.732
1650898992808,2022-04-25T17.03.12.808,0.442,0.000,-1.037,-0.793
1650898992817,2022-04-25T17.03.12.817,0.451,0.549,-1.037,-0.854
1650898992827,2022-04-25T17.03.12.827,0.461,0.610,-0.793,-0.793
1650898992838,2022-04-25T17.03.12.838,0.472,0.488,-0.610,-0.671
1650898992848,2022-04-25T17.03.12.848,0.482,0.366,-0.488,-0.732
1650898992858,2022-04-25T17.03.12.858,0.492,0.061,-0.549,-0.793
1650898992868,2022-04-25T17.03.12.868,0.502,-0.488,-0.732,-0.793
1650898992877,2022-04-25T17.03.12.877,0.511,-0.732,-0.610,-0.732
1650898992887,2022-04-25T17.03.12.887,0.521,-0.732,-0.610,-0.671
1650898992898,2022-04-25T17.03.12.898,0.532,-0.793,-0.549,-0.610
1650898992908,2022-04-25T17.03.12.908,0.542,-0.671,-0.549,-0.427
1650898992918,2022-04-25T17.03.12.918,0.552,-0.183,-0.488,-0.427
1650898992928,2022-04-25T17.03.12.928,0.562,0.366,-0.366,-0.427
1650898992939,2022-04-25T17.03.12.939,0.573,0.427,-0.183,-0.366
1650898992948,2022-04-25T17.03.12.948,0.582,0.366,-0.244,-0.305
1650898992958,2022-04-25T17.03.12.958,0.592,0.427,-0.427,-0.305
1650898992968,2022-04-25T17.03.12.968,0.602,0.061,-0.549,-0.244
1650898992978,2022-04-25T17.03.12.978,0.612,-0.549,-0.671,-0.244
1650898992989,2022-04-25T17.03.12.989,0.623,-0.671,-0.793,-0.305
1650898992999,2022-04-25T17.03.12.999,0.633,-0.366,-0.915,-0.366
1650898993009,2022-04-25T17.03.13.009,0.643,0.183,-0.793,-0.305
1650898993018,2022-04-25T17.03.13.018,0.652,0.427,-0.732,-0.305
1650898993028,2022-04-25T17.03.13.028,0.662,-0.122,-0.854,-0.305
1650898993038,2022-04-25T17.03.13.038,0.672,-0.549,-0.732,-0.427
1650898993049,2022-04-25T17.03.13.049,0.683,-0.549,-0.732,-0.488
1650898993059,2022-04-25T17.03.13.059,0.693,-0.549,-0.793,-0.671
1650898993069,2022-04-25T17.03.13.069,0.703,-0.366,-0.610,-0.793
1650898993078,2022-04-25T17.03.13.078,0.712,-0.061,-0.305,-0.976
1650898993088,2022-04-25T17.03.13.088,0.722,0.122,-0.122,-0.976
1650898993098,2022-04-25T17.03.13.098,0.732,0.366,-0.427,-1.037
1650898993109,2022-04-25T17.03.13.109,0.743,0.122,-0.732,-0.976
1650898993119,2022-04-25T17.03.13.119,0.753,0.061,-0.793,-0.915
1650898993129,2022-04-25T17.03.13.129,0.763,0.122,-0.854,-0.976
1650898993139,2022-04-25T17.03.13.139,0.773,-0.183,-0.915,-0.915
1650898993148,2022-04-25T17.03.13.148,0.782,-0.610,-1.037,-0.793
1650898993158,2022-04-25T17.03.13.158,0.792,-0.793,-0.976,-0.671
1650898993169,2022-04-25T17.03.13.169,0.803,-0.732,-0.915,-0.549
1650898993179,2022-04-25T17.03.13.179,0.813,-0.610,-1.037,-0.427
