epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1652710201088,2022-05-16T16.10.01.088,0.000,0.610,-0.122,-0.732
1652710201099,2022-05-16T16.10.01.099,0.011,0.244,0.183,-0.549
1652710201109,2022-05-16T16.10.01.109,0.021,0.183,-0.244,-0.549
1652710201119,2022-05-16T16.10.01.119,0.031,0.305,-0.305,-0.610
1652710201129,2022-05-16T16.10.01.129,0.041,0.427,-0.366,-0.549
1652710201140,2022-05-16T16.10.01.140,0.052,0.305,-0.488,-0.549
1652710201150,2022-05-16T16.10.01.150,0.062,0.000,-0.427,-0.488
1652710201160,2022-05-16T16.10.01.160,0.072,-0.305,-0.305,-0.488
1652710201170,2022-05-16T16.10.01.170,0.082,-0.366,-0.061,-0.549
1652710201181,2022-05-16T16.10.01.181,0.093,-0.183,-0.183,-0.610
1652710201189,2022-05-16T16.10.01.189,0.101,0.000,-0.122,-0.549
1652710201200,2022-05-16T16.10.01.200,0.112,0.183,0.061,-0.427
1652710201210,2022-05-16T16.10.01.210,0.122,0.427,0.000,-0.305
1652710201220,2022-05-16T16.10.01.220,0.132,0.488,-0.183,-0.366
1652710201230,2022-05-16T16.10.01.230,0.142,0.549,-0.366,-0.427
1652710201241,2022-05-16T16.10.01.241,0.153,0.488,-0.305,-0.549
1652710201251,2022-05-16T16.10.01.251,0.163,0.427,-0.366,-0.610
1652710201261,2022-05-16T16.10.01.261,0.173,0.366,-0.610,-0.427
1652710201271,2022-05-16T16.10.01.271,0.183,0.061,-0.488,-0.305
1652710201282,2022-05-16T16.10.01.282,0.194,-0.305,-0.244,-0.427
1652710201292,2022-05-16T16.10.01.292,0.204,-0.488,-0.061,-0.549
1652710201302,2022-05-16T16.10.01.302,0.214,-0.183,-0.061,-0.488
1652710201311,2022-05-16T16.10.01.311,0.223,0.244,0.000,-0.549
1652710201321,2022-05-16T16.10.01.321,0.233,0.366,0.000,-0.549
1652710201331,2022-05-16T16.10.01.331,0.243,0.366,0.061,-0.244
1652710201342,2022-05-16T16.10.01.342,0.254,0.610,-0.122,-0.183
1652710201352,2022-05-16T16.10.01.352,0.264,0.610,-0.183,-0.366
1652710201362,2022-05-16T16.10.01.362,0.274,0.549,-0.183,-0.549
1652710201373,2022-05-16T16.10.01.373,0.285,0.671,-0.122,-0.549
1652710201383,2022-05-16T16.10.01.383,0.295,0.427,-0.122,-0.427
1652710201393,2022-05-16T16.10.01.393,0.305,0.000,-0.122,-0.305
1652710201403,2022-05-16T16.10.01.403,0.315,-0.427,-0.061,-0.305
1652710201414,2022-05-16T16.10.01.414,0.326,-0.671,-0.061,-0.427
1652710201424,2022-05-16T16.10.01.424,0.336,-0.488,-0.122,-0.427
1652710201433,2022-05-16T16.10.01.433,0.345,-0.061,-0.122,-0.305
1652710201443,2022-05-16T16.10.01.443,0.355,-0.183,-0.183,-0.305
1652710201453,2022-05-16T16.10.01.453,0.365,-0.061,-0.061,-0.488
1652710201463,2022-05-16T16.10.01.463,0.375,0.122,-0.183,-0.488
1652710201474,2022-05-16T16.10.01.474,0.386,0.061,-0.366,-0.549
1652710201484,2022-05-16T16.10.01.484,0.396,0.061,-0.366,-0.854
1652710201494,2022-05-16T16.10.01.494,0.406,0.000,-0.366,-0.854
1652710201504,2022-05-16T16.10.01.504,0.416,-0.061,-0.183,-0.793
1652710201515,2022-05-16T16.10.01.515,0.427,0.122,-0.122,-0.671
1652710201525,2022-05-16T16.10.01.525,0.437,0.427,-0.122,-0.732
1652710201535,2022-05-16T16.10.01.535,0.447,0.732,-0.488,-0.732
1652710201544,2022-05-16T16.10.01.544,0.456,0.915,-0.671,-0.610
1652710201554,2022-05-16T16.10.01.554,0.466,0.549,-0.427,-0.427
1652710201564,2022-05-16T16.10.01.564,0.476,0.000,-0.305,-0.366
1652710201575,2022-05-16T16.10.01.575,0.487,-0.305,-0.305,-0.305
1652710201585,2022-05-16T16.10.01.585,0.497,-0.488,-0.305,-0.366
1652710201595,2022-05-16T16.10.01.595,0.507,-0.732,-0.183,-0.244
1652710201605,2022-05-16T16.10.01.605,0.517,-0.549,-0.305,-0.305
1652710201616,2022-05-16T16.10.01.616,0.528,-0.305,-0.244,-0.305
1652710201626,2022-05-16T16.10.01.626,0.538,0.000,-0.122,-0.427
1652710201636,2022-05-16T16.10.01.636,0.548,0.488,-0.122,-0.488
1652710201646,2022-05-16T16.10.01.646,0.558,1.098,-0.061,-0.366
1652710201657,2022-05-16T16.10.01.657,0.569,1.220,-0.183,-0.366
1652710201665,2022-05-16T16.10.01.665,0.577,1.098,-0.122,-0.427
1652710201676,2022-05-16T16.10.01.676,0.588,0.793,0.000,-0.427
1652710201686,2022-05-16T16.10.01.686,0.598,0.305,-0.122,-0.427
1652710201696,2022-05-16T16.10.01.696,0.608,-0.061,-0.122,-0.488
1652710201706,2022-05-16T16.10.01.706,0.618,-0.305,0.000,-0.427
1652710201717,2022-05-16T16.10.01.717,0.629,-0.671,-0.061,-0.427
1652710201727,2022-05-16T16.10.01.727,0.639,-0.915,0.000,-0.305
1652710201737,2022-05-16T16.10.01.737,0.649,-0.610,-0.122,-0.366
1652710201748,2022-05-16T16.10.01.748,0.660,-0.122,-0.244,-0.366
1652710201758,2022-05-16T16.10.01.758,0.670,0.061,-0.305,-0.366
1652710201768,2022-05-16T16.10.01.768,0.680,0.366,-0.183,-0.488
1652710201778,2022-05-16T16.10.01.778,0.690,0.671,0.000,-0.549
1652710201787,2022-05-16T16.10.01.787,0.699,0.854,-0.122,-0.549
1652710201797,2022-05-16T16.10.01.797,0.709,0.915,-0.183,-0.488
1652710201808,2022-05-16T16.10.01.808,0.720,0.610,-0.061,-0.366
1652710201818,2022-05-16T16.10.01.818,0.730,0.366,0.061,-0.427
1652710201828,2022-05-16T16.10.01.828,0.740,0.244,0.000,-0.610
1652710201838,2022-05-16T16.10.01.838,0.750,0.244,-0.122,-0.549
1652710201849,2022-05-16T16.10.01.849,0.761,0.366,-0.244,-0.305
1652710201859,2022-05-16T16.10.01.859,0.771,0.183,-0.305,-0.427
1652710201869,2022-05-16T16.10.01.869,0.781,-0.183,-0.061,-0.488
