epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1652710200426,2022-05-16T16.10.00.426,0.000,-0.918,-0.496,0.107
1652710200436,2022-05-16T16.10.00.436,0.010,-0.930,-0.504,0.109
1652710200446,2022-05-16T16.10.00.446,0.020,-0.933,-0.509,0.110
1652710200456,2022-05-16T16.10.00.456,0.030,-0.938,-0.512,0.107
1652710200467,2022-05-16T16.10.00.467,0.041,-0.944,-0.511,0.108
1652710200477,2022-05-16T16.10.00.477,0.051,-0.947,-0.505,0.113
1652710200486,2022-05-16T16.10.00.486,0.060,-0.942,-0.501,0.114
1652710200496,2022-05-16T16.10.00.496,0.070,-0.938,-0.497,0.110
1652710200506,2022-05-16T16.10.00.506,0.080,-0.937,-0.496,0.103
1652710200516,2022-05-16T16.10.00.516,0.090,-0.940,-0.492,0.106
1652710200527,2022-05-16T16.10.00.527,0.101,-0.940,-0.494,0.110
1652710200537,2022-05-16T16.10.00.537,0.111,-0.938,-0.497,0.111
1652710200547,2022-05-16T16.10.00.547,0.121,-0.937,-0.501,0.108
1652710200556,2022-05-16T16.10.00.556,0.130,-0.932,-0.503,0.106
1652710200566,2022-05-16T16.10.00.566,0.140,-0.936,-0.504,0.109
1652710200577,2022-05-16T16.10.00.577,0.151,-0.939,-0.502,0.109
1652710200587,2022-05-16T16.10.00.587,0.161,-0.941,-0.499,0.111
1652710200597,2022-05-16T16.10.00.597,0.171,-0.945,-0.496,0.108
1652710200607,2022-05-16T16.10.00.607,0.181,-0.942,-0.497,0.103
1652710200616,2022-05-16T16.10.00.616,0.190,-0.940,-0.502,0.103
1652710200626,2022-05-16T16.10.00.626,0.200,-0.937,-0.502,0.107
1652710200637,2022-05-16T16.10.00.637,0.211,-0.938,-0.504,0.108
1652710200647,2022-05-16T16.10.00.647,0.221,-0.936,-0.505,0.110
1652710200657,2022-05-16T16.10.00.657,0.231,-0.931,-0.505,0.104
1652710200667,2022-05-16T16.10.00.667,0.241,-0.933,-0.506,0.106
1652710200678,2022-05-16T16.10.00.678,0.252,-0.936,-0.504,0.106
1652710200686,2022-05-16T16.10.00.686,0.260,-0.938,-0.505,0.109
1652710200697,2022-05-16T16.10.00.697,0.271,-0.938,-0.504,0.111
1652710200707,2022-05-16T16.10.00.707,0.281,-0.937,-0.502,0.112
1652710200717,2022-05-16T16.10.00.717,0.291,-0.938,-0.504,0.113
1652710200727,2022-05-16T16.10.00.727,0.301,-0.932,-0.505,0.114
1652710200738,2022-05-16T16.10.00.738,0.312,-0.930,-0.504,0.111
1652710200746,2022-05-16T16.10.00.746,0.320,-0.931,-0.505,0.108
1652710200757,2022-05-16T16.10.00.757,0.331,-0.931,-0.506,0.109
1652710200767,2022-05-16T16.10.00.767,0.341,-0.937,-0.506,0.111
1652710200777,2022-05-16T16.10.00.777,0.351,-0.938,-0.505,0.115
1652710200787,2022-05-16T16.10.00.787,0.361,-0.936,-0.504,0.114
1652710200798,2022-05-16T16.10.00.798,0.372,-0.936,-0.501,0.114
1652710200808,2022-05-16T16.10.00.808,0.382,-0.936,-0.500,0.108
1652710200817,2022-05-16T16.10.00.817,0.391,-0.938,-0.500,0.106
1652710200827,2022-05-16T16.10.00.827,0.401,-0.938,-0.497,0.107
1652710200837,2022-05-16T16.10.00.837,0.411,-0.941,-0.500,0.110
1652710200848,2022-05-16T16.10.00.848,0.422,-0.943,-0.503,0.111
1652710200858,2022-05-16T16.10.00.858,0.432,-0.940,-0.502,0.106
1652710200868,2022-05-16T16.10.00.868,0.442,-0.939,-0.504,0.109
1652710200877,2022-05-16T16.10.00.877,0.451,-0.938,-0.504,0.109
1652710200887,2022-05-16T16.10.00.887,0.461,-0.938,-0.503,0.108
1652710200897,2022-05-16T16.10.00.897,0.471,-0.937,-0.501,0.104
1652710200908,2022-05-16T16.10.00.908,0.482,-0.937,-0.503,0.107
1652710200918,2022-05-16T16.10.00.918,0.492,-0.935,-0.501,0.110
1652710200928,2022-05-16T16.10.00.928,0.502,-0.938,-0.502,0.107
