epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1652710200436,2022-05-16T16.10.00.436,0.000,-0.610,-0.122,0.183
1652710200446,2022-05-16T16.10.00.446,0.010,-0.488,0.061,0.244
1652710200456,2022-05-16T16.10.00.456,0.020,-0.549,0.244,0.366
1652710200467,2022-05-16T16.10.00.467,0.031,-0.366,0.183,0.244
1652710200477,2022-05-16T16.10.00.477,0.041,0.061,0.122,0.000
1652710200486,2022-05-16T16.10.00.486,0.050,0.671,-0.183,-0.061
1652710200496,2022-05-16T16.10.00.496,0.060,0.915,-0.549,0.122
1652710200506,2022-05-16T16.10.00.506,0.070,0.305,-0.488,0.244
1652710200516,2022-05-16T16.10.00.516,0.080,-0.305,-0.183,0.122
1652710200527,2022-05-16T16.10.00.527,0.091,-0.122,0.061,0.122
1652710200537,2022-05-16T16.10.00.537,0.101,-0.061,0.000,0.061
1652710200547,2022-05-16T16.10.00.547,0.111,-0.549,-0.122,0.122
1652710200556,2022-05-16T16.10.00.556,0.120,-0.732,0.000,-0.061
1652710200566,2022-05-16T16.10.00.566,0.130,-0.488,0.061,-0.122
1652710200577,2022-05-16T16.10.00.577,0.141,-0.183,0.000,-0.183
1652710200587,2022-05-16T16.10.00.587,0.151,-0.122,-0.183,-0.305
1652710200597,2022-05-16T16.10.00.597,0.161,-0.305,-0.244,-0.244
1652710200607,2022-05-16T16.10.00.607,0.171,-0.549,-0.488,0.061
1652710200616,2022-05-16T16.10.00.616,0.180,-0.732,-0.549,0.122
1652710200626,2022-05-16T16.10.00.626,0.190,-0.854,-0.305,0.000
1652710200637,2022-05-16T16.10.00.637,0.201,-0.610,-0.061,0.000
1652710200647,2022-05-16T16.10.00.647,0.211,-0.244,-0.366,-0.244
1652710200657,2022-05-16T16.10.00.657,0.221,0.000,-0.427,-0.244
1652710200667,2022-05-16T16.10.00.667,0.231,-0.061,-0.183,0.000
1652710200678,2022-05-16T16.10.00.678,0.242,0.122,-0.183,0.061
1652710200686,2022-05-16T16.10.00.686,0.250,0.183,-0.305,0.000
1652710200697,2022-05-16T16.10.00.697,0.261,0.183,-0.427,-0.061
1652710200707,2022-05-16T16.10.00.707,0.271,0.305,-0.427,-0.061
1652710200717,2022-05-16T16.10.00.717,0.281,0.305,-0.427,-0.122
1652710200727,2022-05-16T16.10.00.727,0.291,0.122,-0.427,0.000
1652710200738,2022-05-16T16.10.00.738,0.302,0.061,-0.305,0.061
1652710200746,2022-05-16T16.10.00.746,0.310,-0.122,-0.183,0.061
1652710200757,2022-05-16T16.10.00.757,0.321,-0.244,0.061,0.061
1652710200767,2022-05-16T16.10.00.767,0.331,-0.122,0.305,0.122
1652710200777,2022-05-16T16.10.00.777,0.341,0.183,0.183,0.061
1652710200787,2022-05-16T16.10.00.787,0.351,0.488,0.000,0.000
1652710200798,2022-05-16T16.10.00.798,0.362,0.610,-0.061,0.122
1652710200808,2022-05-16T16.10.00.808,0.372,0.427,-0.122,0.183
1652710200817,2022-05-16T16.10.00.817,0.381,-0.244,-0.122,0.122
1652710200827,2022-05-16T16.10.00.827,0.391,-0.732,0.061,0.183
1652710200837,2022-05-16T16.10.00.837,0.401,-0.732,0.244,0.061
1652710200848,2022-05-16T16.10.00.848,0.412,-0.732,0.122,0.061
1652710200858,2022-05-16T16.10.00.858,0.422,-0.610,-0.061,0.061
1652710200868,2022-05-16T16.10.00.868,0.432,-0.366,-0.061,0.061
1652710200877,2022-05-16T16.10.00.877,0.441,-0.305,-0.122,0.000
1652710200887,2022-05-16T16.10.00.887,0.451,0.000,-0.183,0.000
1652710200897,2022-05-16T16.10.00.897,0.461,0.244,0.000,-0.061
1652710200908,2022-05-16T16.10.00.908,0.472,0.366,0.183,-0.061
1652710200918,2022-05-16T16.10.00.918,0.482,0.549,0.122,-0.122
1652710200928,2022-05-16T16.10.00.928,0.492,0.549,0.061,-0.061
1652710200938,2022-05-16T16.10.00.938,0.502,0.427,-0.061,-0.061
1652710200947,2022-05-16T16.10.00.947,0.511,0.366,0.000,0.122
1652710200957,2022-05-16T16.10.00.957,0.521,0.122,-0.061,0.061
1652710200968,2022-05-16T16.10.00.968,0.532,-0.183,-0.244,0.000
1652710200978,2022-05-16T16.10.00.978,0.542,-0.244,-0.244,0.061
1652710200988,2022-05-16T16.10.00.988,0.552,-0.305,-0.244,0.000
1652710200998,2022-05-16T16.10.00.998,0.562,-0.366,-0.183,-0.061
1652710201007,2022-05-16T16.10.01.007,0.571,-0.610,-0.183,0.061
1652710201017,2022-05-16T16.10.01.017,0.581,-0.610,-0.061,0.122
1652710201028,2022-05-16T16.10.01.028,0.592,-0.610,0.061,0.000
1652710201038,2022-05-16T16.10.01.038,0.602,-0.549,0.000,0.061
1652710201048,2022-05-16T16.10.01.048,0.612,-0.366,-0.122,0.122
1652710201058,2022-05-16T16.10.01.058,0.622,0.061,-0.183,0.000
1652710201069,2022-05-16T16.10.01.069,0.633,0.305,-0.244,0.000
1652710201077,2022-05-16T16.10.01.077,0.641,0.061,-0.244,0.061
1652710201088,2022-05-16T16.10.01.088,0.652,-0.183,0.000,0.000
1652710201098,2022-05-16T16.10.01.098,0.662,-0.122,-0.061,-0.061
1652710201108,2022-05-16T16.10.01.108,0.672,0.000,-0.183,-0.122
1652710201118,2022-05-16T16.10.01.118,0.682,0.122,-0.244,-0.122
1652710201129,2022-05-16T16.10.01.129,0.693,0.183,-0.366,-0.183
1652710201138,2022-05-16T16.10.01.138,0.702,0.122,-0.488,-0.061
