epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1652711636083,2022-05-16T16.33.56.083,0.000,-0.821,0.438,-0.247
1652711636094,2022-05-16T16.33.56.094,0.011,-0.830,0.439,-0.254
1652711636104,2022-05-16T16.33.56.104,0.021,-0.829,0.439,-0.255
1652711636113,2022-05-16T16.33.56.113,0.030,-0.829,0.439,-0.252
1652711636123,2022-05-16T16.33.56.123,0.040,-0.824,0.439,-0.251
1652711636133,2022-05-16T16.33.56.133,0.050,-0.819,0.436,-0.252
1652711636143,2022-05-16T16.33.56.143,0.060,-0.823,0.437,-0.256
1652711636154,2022-05-16T16.33.56.154,0.071,-0.832,0.429,-0.256
1652711636164,2022-05-16T16.33.56.164,0.081,-0.834,0.429,-0.253
1652711636173,2022-05-16T16.33.56.173,0.090,-0.833,0.433,-0.249
1652711636183,2022-05-16T16.33.56.183,0.100,-0.826,0.434,-0.244
1652711636193,2022-05-16T16.33.56.193,0.110,-0.824,0.437,-0.249
1652711636203,2022-05-16T16.33.56.203,0.120,-0.822,0.435,-0.245
1652711636214,2022-05-16T16.33.56.214,0.131,-0.817,0.435,-0.243
1652711636224,2022-05-16T16.33.56.224,0.141,-0.815,0.438,-0.241
1652711636233,2022-05-16T16.33.56.233,0.150,-0.818,0.444,-0.246
1652711636243,2022-05-16T16.33.56.243,0.160,-0.820,0.450,-0.246
1652711636253,2022-05-16T16.33.56.253,0.170,-0.820,0.456,-0.245
1652711636263,2022-05-16T16.33.56.263,0.180,-0.821,0.458,-0.240
1652711636274,2022-05-16T16.33.56.274,0.191,-0.818,0.460,-0.243
1652711636284,2022-05-16T16.33.56.284,0.201,-0.819,0.461,-0.249
1652711636293,2022-05-16T16.33.56.293,0.210,-0.820,0.458,-0.249
1652711636303,2022-05-16T16.33.56.303,0.220,-0.820,0.458,-0.247
1652711636313,2022-05-16T16.33.56.313,0.230,-0.821,0.456,-0.248
1652711636323,2022-05-16T16.33.56.323,0.240,-0.823,0.453,-0.250
1652711636334,2022-05-16T16.33.56.334,0.251,-0.829,0.453,-0.254
1652711636344,2022-05-16T16.33.56.344,0.261,-0.830,0.453,-0.254
1652711636354,2022-05-16T16.33.56.354,0.271,-0.828,0.448,-0.252
1652711636363,2022-05-16T16.33.56.363,0.280,-0.824,0.442,-0.251
1652711636373,2022-05-16T16.33.56.373,0.290,-0.825,0.438,-0.250
1652711636384,2022-05-16T16.33.56.384,0.301,-0.821,0.432,-0.245
1652711636394,2022-05-16T16.33.56.394,0.311,-0.822,0.426,-0.243
1652711636404,2022-05-16T16.33.56.404,0.321,-0.824,0.423,-0.241
1652711636414,2022-05-16T16.33.56.414,0.331,-0.823,0.424,-0.243
1652711636423,2022-05-16T16.33.56.423,0.340,-0.825,0.423,-0.241
1652711636433,2022-05-16T16.33.56.433,0.350,-0.826,0.420,-0.244
1652711636444,2022-05-16T16.33.56.444,0.361,-0.828,0.423,-0.248
1652711636454,2022-05-16T16.33.56.454,0.371,-0.833,0.427,-0.249
1652711636464,2022-05-16T16.33.56.464,0.381,-0.835,0.433,-0.247
1652711636474,2022-05-16T16.33.56.474,0.391,-0.834,0.434,-0.247
1652711636483,2022-05-16T16.33.56.483,0.400,-0.829,0.433,-0.247
1652711636493,2022-05-16T16.33.56.493,0.410,-0.826,0.436,-0.244
1652711636504,2022-05-16T16.33.56.504,0.421,-0.827,0.439,-0.245
1652711636514,2022-05-16T16.33.56.514,0.431,-0.823,0.445,-0.244
1652711636524,2022-05-16T16.33.56.524,0.441,-0.823,0.450,-0.248
1652711636534,2022-05-16T16.33.56.534,0.451,-0.823,0.450,-0.245
1652711636545,2022-05-16T16.33.56.545,0.462,-0.826,0.445,-0.246
1652711636553,2022-05-16T16.33.56.553,0.470,-0.827,0.443,-0.246
1652711636564,2022-05-16T16.33.56.564,0.481,-0.827,0.443,-0.250
1652711636574,2022-05-16T16.33.56.574,0.491,-0.824,0.444,-0.250
1652711636584,2022-05-16T16.33.56.584,0.501,-0.824,0.445,-0.251
1652711636594,2022-05-16T16.33.56.594,0.511,-0.821,0.446,-0.250
1652711636605,2022-05-16T16.33.56.605,0.522,-0.820,0.448,-0.246
1652711636614,2022-05-16T16.33.56.614,0.531,-0.820,0.447,-0.246
1652711636624,2022-05-16T16.33.56.624,0.541,-0.822,0.444,-0.245
1652711636634,2022-05-16T16.33.56.634,0.551,-0.824,0.443,-0.249
1652711636644,2022-05-16T16.33.56.644,0.561,-0.822,0.444,-0.249
1652711636655,2022-05-16T16.33.56.655,0.572,-0.823,0.441,-0.247
1652711636665,2022-05-16T16.33.56.665,0.582,-0.825,0.439,-0.249
1652711636675,2022-05-16T16.33.56.675,0.592,-0.826,0.439,-0.249
1652711636684,2022-05-16T16.33.56.684,0.601,-0.825,0.441,-0.250
1652711636694,2022-05-16T16.33.56.694,0.611,-0.822,0.440,-0.253
1652711636704,2022-05-16T16.33.56.704,0.621,-0.823,0.443,-0.252
1652711636715,2022-05-16T16.33.56.715,0.632,-0.823,0.448,-0.250
1652711636725,2022-05-16T16.33.56.725,0.642,-0.826,0.447,-0.247
1652711636735,2022-05-16T16.33.56.735,0.652,-0.827,0.446,-0.245
1652711636744,2022-05-16T16.33.56.744,0.661,-0.833,0.444,-0.240
1652711636754,2022-05-16T16.33.56.754,0.671,-0.831,0.438,-0.242
1652711636764,2022-05-16T16.33.56.764,0.681,-0.829,0.436,-0.245
1652711636775,2022-05-16T16.33.56.775,0.692,-0.827,0.435,-0.244
1652711636785,2022-05-16T16.33.56.785,0.702,-0.824,0.432,-0.247
1652711636795,2022-05-16T16.33.56.795,0.712,-0.821,0.432,-0.249
1652711636804,2022-05-16T16.33.56.804,0.721,-0.818,0.434,-0.249
1652711636814,2022-05-16T16.33.56.814,0.731,-0.817,0.438,-0.247
1652711636824,2022-05-16T16.33.56.824,0.741,-0.822,0.442,-0.249
1652711636835,2022-05-16T16.33.56.835,0.752,-0.819,0.444,-0.249
1652711636845,2022-05-16T16.33.56.845,0.762,-0.820,0.449,-0.254
1652711636855,2022-05-16T16.33.56.855,0.772,-0.821,0.451,-0.255
1652711636865,2022-05-16T16.33.56.865,0.782,-0.823,0.449,-0.252
1652711636874,2022-05-16T16.33.56.874,0.791,-0.826,0.450,-0.252
1652711636885,2022-05-16T16.33.56.885,0.802,-0.827,0.449,-0.249
1652711636895,2022-05-16T16.33.56.895,0.812,-0.827,0.445,-0.245
1652711636905,2022-05-16T16.33.56.905,0.822,-0.825,0.444,-0.245
1652711636915,2022-05-16T16.33.56.915,0.832,-0.823,0.446,-0.247
1652711636926,2022-05-16T16.33.56.926,0.843,-0.828,0.447,-0.244
1652711636934,2022-05-16T16.33.56.934,0.851,-0.833,0.444,-0.244
1652711636945,2022-05-16T16.33.56.945,0.862,-0.833,0.441,-0.247
1652711636955,2022-05-16T16.33.56.955,0.872,-0.833,0.439,-0.246
1652711636965,2022-05-16T16.33.56.965,0.882,-0.829,0.438,-0.246
1652711636975,2022-05-16T16.33.56.975,0.892,-0.826,0.437,-0.247
1652711636986,2022-05-16T16.33.56.986,0.903,-0.825,0.434,-0.246
1652711636994,2022-05-16T16.33.56.994,0.911,-0.821,0.427,-0.245
1652711637005,2022-05-16T16.33.57.005,0.922,-0.822,0.423,-0.242
1652711637015,2022-05-16T16.33.57.015,0.932,-0.824,0.426,-0.240
1652711637025,2022-05-16T16.33.57.025,0.942,-0.827,0.426,-0.244
1652711637035,2022-05-16T16.33.57.035,0.952,-0.826,0.426,-0.249
1652711637046,2022-05-16T16.33.57.046,0.963,-0.826,0.431,-0.253
1652711637054,2022-05-16T16.33.57.054,0.971,-0.825,0.438,-0.257
1652711637065,2022-05-16T16.33.57.065,0.982,-0.823,0.445,-0.254
1652711637075,2022-05-16T16.33.57.075,0.992,-0.824,0.451,-0.254
1652711637085,2022-05-16T16.33.57.085,1.002,-0.826,0.451,-0.250
1652711637095,2022-05-16T16.33.57.095,1.012,-0.828,0.451,-0.249
1652711637106,2022-05-16T16.33.57.106,1.023,-0.825,0.449,-0.246
1652711637115,2022-05-16T16.33.57.115,1.032,-0.826,0.446,-0.246
1652711637125,2022-05-16T16.33.57.125,1.042,-0.824,0.444,-0.245
1652711637135,2022-05-16T16.33.57.135,1.052,-0.823,0.440,-0.242
