epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1652711636053,2022-05-16T16.33.56.053,0.000,-0.852,0.479,-0.238
1652711636063,2022-05-16T16.33.56.063,0.010,-0.863,0.487,-0.234
1652711636074,2022-05-16T16.33.56.074,0.021,-0.864,0.487,-0.231
1652711636084,2022-05-16T16.33.56.084,0.031,-0.860,0.480,-0.232
1652711636093,2022-05-16T16.33.56.093,0.040,-0.858,0.475,-0.232
1652711636103,2022-05-16T16.33.56.103,0.050,-0.863,0.471,-0.236
1652711636113,2022-05-16T16.33.56.113,0.060,-0.866,0.469,-0.238
1652711636122,2022-05-16T16.33.56.122,0.069,-0.865,0.470,-0.241
1652711636132,2022-05-16T16.33.56.132,0.079,-0.864,0.467,-0.240
1652711636143,2022-05-16T16.33.56.143,0.090,-0.860,0.468,-0.239
1652711636153,2022-05-16T16.33.56.153,0.100,-0.859,0.466,-0.241
1652711636162,2022-05-16T16.33.56.162,0.109,-0.862,0.463,-0.243
1652711636172,2022-05-16T16.33.56.172,0.119,-0.869,0.458,-0.239
1652711636182,2022-05-16T16.33.56.182,0.129,-0.869,0.459,-0.236
1652711636192,2022-05-16T16.33.56.192,0.139,-0.872,0.461,-0.234
1652711636201,2022-05-16T16.33.56.201,0.148,-0.866,0.465,-0.232
1652711636211,2022-05-16T16.33.56.211,0.158,-0.860,0.469,-0.234
1652711636222,2022-05-16T16.33.56.222,0.169,-0.859,0.468,-0.231
1652711636232,2022-05-16T16.33.56.232,0.179,-0.855,0.464,-0.228
1652711636241,2022-05-16T16.33.56.241,0.188,-0.854,0.470,-0.229
1652711636251,2022-05-16T16.33.56.251,0.198,-0.857,0.473,-0.231
1652711636261,2022-05-16T16.33.56.261,0.208,-0.856,0.481,-0.231
1652711636270,2022-05-16T16.33.56.270,0.217,-0.855,0.485,-0.232
1652711636280,2022-05-16T16.33.56.280,0.227,-0.860,0.490,-0.230
1652711636290,2022-05-16T16.33.56.290,0.237,-0.859,0.491,-0.230
1652711636301,2022-05-16T16.33.56.301,0.248,-0.858,0.490,-0.234
1652711636310,2022-05-16T16.33.56.310,0.257,-0.856,0.492,-0.234
1652711636320,2022-05-16T16.33.56.320,0.267,-0.857,0.490,-0.234
1652711636330,2022-05-16T16.33.56.330,0.277,-0.856,0.488,-0.234
1652711636340,2022-05-16T16.33.56.340,0.287,-0.858,0.483,-0.237
1652711636349,2022-05-16T16.33.56.349,0.296,-0.865,0.481,-0.239
1652711636359,2022-05-16T16.33.56.359,0.306,-0.867,0.479,-0.240
1652711636370,2022-05-16T16.33.56.370,0.317,-0.866,0.477,-0.238
1652711636378,2022-05-16T16.33.56.378,0.325,-0.859,0.474,-0.240
1652711636389,2022-05-16T16.33.56.389,0.336,-0.861,0.468,-0.234
1652711636399,2022-05-16T16.33.56.399,0.346,-0.862,0.463,-0.230
1652711636409,2022-05-16T16.33.56.409,0.356,-0.862,0.458,-0.229
1652711636418,2022-05-16T16.33.56.418,0.365,-0.861,0.452,-0.226
1652711636428,2022-05-16T16.33.56.428,0.375,-0.863,0.452,-0.226
1652711636438,2022-05-16T16.33.56.438,0.385,-0.862,0.455,-0.229
1652711636449,2022-05-16T16.33.56.449,0.396,-0.862,0.454,-0.229
1652711636457,2022-05-16T16.33.56.457,0.404,-0.865,0.454,-0.235
1652711636468,2022-05-16T16.33.56.468,0.415,-0.866,0.456,-0.238
1652711636478,2022-05-16T16.33.56.478,0.425,-0.870,0.460,-0.234
1652711636488,2022-05-16T16.33.56.488,0.435,-0.870,0.462,-0.233
1652711636497,2022-05-16T16.33.56.497,0.444,-0.868,0.461,-0.230
1652711636507,2022-05-16T16.33.56.507,0.454,-0.866,0.466,-0.229
1652711636518,2022-05-16T16.33.56.518,0.465,-0.865,0.469,-0.229
1652711636526,2022-05-16T16.33.56.526,0.473,-0.862,0.473,-0.232
1652711636537,2022-05-16T16.33.56.537,0.484,-0.860,0.477,-0.231
1652711636547,2022-05-16T16.33.56.547,0.494,-0.860,0.481,-0.229
1652711636557,2022-05-16T16.33.56.557,0.504,-0.861,0.480,-0.232
1652711636566,2022-05-16T16.33.56.566,0.513,-0.862,0.476,-0.231
1652711636576,2022-05-16T16.33.56.576,0.523,-0.863,0.475,-0.235
1652711636586,2022-05-16T16.33.56.586,0.533,-0.866,0.477,-0.237
1652711636597,2022-05-16T16.33.56.597,0.544,-0.860,0.477,-0.240
1652711636605,2022-05-16T16.33.56.605,0.552,-0.859,0.477,-0.235
1652711636616,2022-05-16T16.33.56.616,0.563,-0.856,0.476,-0.234
1652711636626,2022-05-16T16.33.56.626,0.573,-0.859,0.476,-0.232
1652711636635,2022-05-16T16.33.56.635,0.582,-0.859,0.476,-0.232
1652711636645,2022-05-16T16.33.56.645,0.592,-0.858,0.474,-0.234
1652711636655,2022-05-16T16.33.56.655,0.602,-0.859,0.473,-0.233
1652711636665,2022-05-16T16.33.56.665,0.612,-0.860,0.474,-0.234
1652711636674,2022-05-16T16.33.56.674,0.621,-0.862,0.471,-0.233
1652711636685,2022-05-16T16.33.56.685,0.632,-0.862,0.470,-0.237
1652711636695,2022-05-16T16.33.56.695,0.642,-0.862,0.469,-0.235
