epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1652711636063,2022-05-16T16.33.56.063,0.000,-0.122,0.122,0.122
1652711636074,2022-05-16T16.33.56.074,0.011,0.061,0.793,0.183
1652711636084,2022-05-16T16.33.56.084,0.021,-0.122,0.549,0.427
1652711636093,2022-05-16T16.33.56.093,0.030,-0.122,0.183,0.671
1652711636103,2022-05-16T16.33.56.103,0.040,-0.122,0.305,0.793
1652711636113,2022-05-16T16.33.56.113,0.050,-0.549,0.366,0.854
1652711636122,2022-05-16T16.33.56.122,0.059,-0.854,0.244,0.915
1652711636132,2022-05-16T16.33.56.132,0.069,-1.037,0.305,0.915
1652711636143,2022-05-16T16.33.56.143,0.080,-0.549,0.305,0.915
1652711636153,2022-05-16T16.33.56.153,0.090,-0.366,0.366,0.732
1652711636162,2022-05-16T16.33.56.162,0.099,-0.427,0.427,0.610
1652711636172,2022-05-16T16.33.56.172,0.109,-0.671,0.549,0.549
1652711636182,2022-05-16T16.33.56.182,0.119,-0.488,0.549,0.366
1652711636192,2022-05-16T16.33.56.192,0.129,-0.305,0.488,0.183
1652711636201,2022-05-16T16.33.56.201,0.138,0.061,0.549,0.122
1652711636211,2022-05-16T16.33.56.211,0.148,0.122,0.488,0.122
1652711636222,2022-05-16T16.33.56.222,0.159,0.122,0.366,0.061
1652711636232,2022-05-16T16.33.56.232,0.169,0.244,0.305,0.000
1652711636241,2022-05-16T16.33.56.241,0.178,0.671,0.427,-0.183
1652711636251,2022-05-16T16.33.56.251,0.188,1.159,0.488,-0.366
1652711636261,2022-05-16T16.33.56.261,0.198,1.341,0.488,-0.549
1652711636270,2022-05-16T16.33.56.270,0.207,1.037,0.549,-0.610
1652711636280,2022-05-16T16.33.56.280,0.217,0.610,0.671,-0.610
1652711636290,2022-05-16T16.33.56.290,0.227,-0.183,0.549,-0.488
1652711636301,2022-05-16T16.33.56.301,0.238,-1.037,0.671,-0.488
1652711636310,2022-05-16T16.33.56.310,0.247,-1.707,0.793,-0.366
1652711636320,2022-05-16T16.33.56.320,0.257,-2.378,1.098,-0.305
1652711636330,2022-05-16T16.33.56.330,0.267,-2.683,1.280,-0.061
1652711636340,2022-05-16T16.33.56.340,0.277,-2.805,1.341,0.122
1652711636349,2022-05-16T16.33.56.349,0.286,-2.866,1.402,0.427
