epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1658327768670,2022-07-20T16.36.08.670,0.000,-3.598,1.402,-0.061
1658327768681,2022-07-20T16.36.08.681,0.011,-2.927,1.098,-0.122
1658327768691,2022-07-20T16.36.08.691,0.021,0.183,0.488,-1.341
1658327768701,2022-07-20T16.36.08.701,0.031,-0.122,0.122,-1.707
1658327768711,2022-07-20T16.36.08.711,0.041,-3.598,1.402,-1.524
1658327768722,2022-07-20T16.36.08.722,0.052,-4.512,1.768,-2.012
1658327768732,2022-07-20T16.36.08.732,0.062,-2.439,0.427,-2.195
1658327768742,2022-07-20T16.36.08.742,0.072,-1.829,-0.305,-2.317
1658327768752,2022-07-20T16.36.08.752,0.082,-3.720,0.610,-3.110
1658327768763,2022-07-20T16.36.08.763,0.093,-3.963,0.427,-4.024
1658327768773,2022-07-20T16.36.08.773,0.103,-3.171,-0.366,-4.268
1658327768783,2022-07-20T16.36.08.783,0.113,-2.988,0.244,-4.756
1658327768792,2022-07-20T16.36.08.792,0.122,-2.744,0.854,-5.244
1658327768802,2022-07-20T16.36.08.802,0.132,-1.402,0.427,-5.488
1658327768812,2022-07-20T16.36.08.812,0.142,-0.488,0.366,-5.244
1658327768823,2022-07-20T16.36.08.823,0.153,0.000,0.183,-4.390
1658327768833,2022-07-20T16.36.08.833,0.163,2.073,0.610,-2.256
1658327768843,2022-07-20T16.36.08.843,0.173,4.817,0.427,2.866
1658327768853,2022-07-20T16.36.08.853,0.183,3.720,-4.268,6.159
1658327768864,2022-07-20T16.36.08.864,0.194,-4.939,-2.744,3.110
1658327768874,2022-07-20T16.36.08.874,0.204,-6.280,2.134,-1.463
1658327768884,2022-07-20T16.36.08.884,0.214,2.866,-0.732,-1.159
1658327768894,2022-07-20T16.36.08.894,0.224,6.037,-2.012,1.037
1658327768903,2022-07-20T16.36.08.903,0.233,4.085,-0.061,1.037
1658327768913,2022-07-20T16.36.08.913,0.243,2.073,1.098,-0.610
1658327768924,2022-07-20T16.36.08.924,0.254,1.220,1.220,-0.488
1658327768934,2022-07-20T16.36.08.934,0.264,1.098,-0.732,0.366
1658327768944,2022-07-20T16.36.08.944,0.274,-2.622,-0.976,0.122
1658327768954,2022-07-20T16.36.08.954,0.284,-4.939,0.122,-0.549
1658327768965,2022-07-20T16.36.08.965,0.295,-4.756,-0.244,-0.366
1658327768975,2022-07-20T16.36.08.975,0.305,-4.817,-0.549,-0.061
1658327768985,2022-07-20T16.36.08.985,0.315,-4.573,0.305,-0.549
1658327768995,2022-07-20T16.36.08.995,0.325,-1.585,0.610,-0.610
1658327769006,2022-07-20T16.36.09.006,0.336,1.585,0.061,-0.427
1658327769016,2022-07-20T16.36.09.016,0.346,3.232,0.427,-0.549
1658327769025,2022-07-20T16.36.09.025,0.355,4.329,0.244,-0.854
1658327769035,2022-07-20T16.36.09.035,0.365,4.634,0.427,-0.671
1658327769045,2022-07-20T16.36.09.045,0.375,4.146,1.037,-0.488
1658327769056,2022-07-20T16.36.09.056,0.386,4.268,0.488,-0.305
1658327769066,2022-07-20T16.36.09.066,0.396,2.927,-0.183,0.122
1658327769076,2022-07-20T16.36.09.076,0.406,0.183,-0.183,0.244
1658327769086,2022-07-20T16.36.09.086,0.416,-1.159,-0.366,0.000
1658327769097,2022-07-20T16.36.09.097,0.427,-2.012,-0.915,0.061
1658327769107,2022-07-20T16.36.09.107,0.437,-2.500,-0.610,0.305
1658327769117,2022-07-20T16.36.09.117,0.447,-1.341,0.000,0.549
1658327769127,2022-07-20T16.36.09.127,0.457,0.854,-0.549,0.610
1658327769138,2022-07-20T16.36.09.138,0.468,2.195,-0.366,0.854
1658327769146,2022-07-20T16.36.09.146,0.476,2.927,0.671,0.793
1658327769157,2022-07-20T16.36.09.157,0.487,3.354,0.793,0.366
1658327769167,2022-07-20T16.36.09.167,0.497,2.988,0.854,0.183
1658327769177,2022-07-20T16.36.09.177,0.507,2.256,0.732,0.122
1658327769187,2022-07-20T16.36.09.187,0.517,0.610,0.610,0.000
1658327769198,2022-07-20T16.36.09.198,0.528,-0.305,0.854,-0.244
1658327769208,2022-07-20T16.36.09.208,0.538,-0.061,0.610,-0.183
1658327769218,2022-07-20T16.36.09.218,0.548,0.122,0.061,0.122
1658327769228,2022-07-20T16.36.09.228,0.558,0.366,-0.366,-0.183
1658327769239,2022-07-20T16.36.09.239,0.569,0.366,-0.183,-0.305
1658327769249,2022-07-20T16.36.09.249,0.579,0.366,-0.061,-0.366
1658327769259,2022-07-20T16.36.09.259,0.589,0.244,0.061,-0.305
1658327769268,2022-07-20T16.36.09.268,0.598,0.976,-0.061,-0.305
1658327769278,2022-07-20T16.36.09.278,0.608,1.220,-0.122,-0.305
1658327769288,2022-07-20T16.36.09.288,0.618,1.037,0.000,-0.488
1658327769299,2022-07-20T16.36.09.299,0.629,1.159,0.061,-0.549
1658327769309,2022-07-20T16.36.09.309,0.639,1.646,0.549,-0.793
1658327769319,2022-07-20T16.36.09.319,0.649,2.439,0.549,-0.915
1658327769329,2022-07-20T16.36.09.329,0.659,2.256,0.305,-0.976
1658327769340,2022-07-20T16.36.09.340,0.670,1.159,0.000,-1.098
1658327769350,2022-07-20T16.36.09.350,0.680,0.061,0.366,-1.098
1658327769360,2022-07-20T16.36.09.360,0.690,-0.183,-0.305,-1.098
1658327769370,2022-07-20T16.36.09.370,0.700,-1.037,-0.244,-0.915
1658327769381,2022-07-20T16.36.09.381,0.711,-1.890,-0.183,-0.671
1658327769390,2022-07-20T16.36.09.390,0.720,-1.951,-1.098,-0.488
1658327769400,2022-07-20T16.36.09.400,0.730,-2.195,-0.915,-0.183
1658327769410,2022-07-20T16.36.09.410,0.740,-0.976,-0.549,0.000
1658327769420,2022-07-20T16.36.09.420,0.750,0.793,-0.061,0.122
1658327769431,2022-07-20T16.36.09.431,0.761,2.134,-0.244,0.183
1658327769441,2022-07-20T16.36.09.441,0.771,3.171,-0.305,0.000
1658327769451,2022-07-20T16.36.09.451,0.781,3.598,0.122,0.122
1658327769461,2022-07-20T16.36.09.461,0.791,3.293,0.488,0.122
