epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1658327772452,2022-07-20T16.36.12.452,0.000,0.854,-0.305,-0.061
1658327772462,2022-07-20T16.36.12.462,0.010,0.549,-0.610,-0.427
1658327772471,2022-07-20T16.36.12.471,0.019,0.427,-0.305,-0.488
1658327772481,2022-07-20T16.36.12.481,0.029,0.488,-0.061,-0.366
1658327772492,2022-07-20T16.36.12.492,0.040,0.671,-0.122,-0.549
1658327772502,2022-07-20T16.36.12.502,0.050,1.098,-0.183,-0.732
1658327772512,2022-07-20T16.36.12.512,0.060,1.159,-0.183,-0.732
1658327772522,2022-07-20T16.36.12.522,0.070,1.159,-0.488,-0.671
1658327772533,2022-07-20T16.36.12.533,0.081,1.220,-0.732,-0.610
1658327772542,2022-07-20T16.36.12.542,0.090,1.037,-0.732,-0.366
1658327772552,2022-07-20T16.36.12.552,0.100,0.793,-0.366,-0.122
1658327772562,2022-07-20T16.36.12.562,0.110,0.732,-0.427,-0.061
1658327772572,2022-07-20T16.36.12.572,0.120,0.610,-0.976,-0.061
1658327772583,2022-07-20T16.36.12.583,0.131,0.244,-1.159,-0.183
1658327772593,2022-07-20T16.36.12.593,0.141,0.122,-1.098,-0.183
1658327772602,2022-07-20T16.36.12.602,0.150,0.244,-0.915,-0.244
1658327772612,2022-07-20T16.36.12.612,0.160,0.427,-0.549,-0.366
1658327772622,2022-07-20T16.36.12.622,0.170,0.915,-0.305,-0.366
1658327772632,2022-07-20T16.36.12.632,0.180,1.524,0.061,-0.122
1658327772643,2022-07-20T16.36.12.643,0.191,1.707,0.549,0.122
1658327772653,2022-07-20T16.36.12.653,0.201,1.707,0.427,0.061
1658327772662,2022-07-20T16.36.12.662,0.210,1.585,-0.183,-0.061
1658327772672,2022-07-20T16.36.12.672,0.220,1.098,-0.549,-0.183
1658327772682,2022-07-20T16.36.12.682,0.230,0.366,-0.549,-0.305
1658327772692,2022-07-20T16.36.12.692,0.240,-0.122,-0.732,-0.244
1658327772703,2022-07-20T16.36.12.703,0.251,-0.244,-1.037,-0.183
1658327772713,2022-07-20T16.36.12.713,0.261,0.000,-0.976,-0.183
1658327772722,2022-07-20T16.36.12.722,0.270,0.122,-0.671,-0.122
1658327772732,2022-07-20T16.36.12.732,0.280,0.122,-0.732,-0.183
1658327772742,2022-07-20T16.36.12.742,0.290,0.366,-0.671,-0.427
1658327772752,2022-07-20T16.36.12.752,0.300,1.098,-0.427,-0.488
1658327772763,2022-07-20T16.36.12.763,0.311,1.585,-0.305,-0.427
1658327772773,2022-07-20T16.36.12.773,0.321,1.707,-0.183,-0.488
1658327772783,2022-07-20T16.36.12.783,0.331,1.585,-0.122,-0.610
1658327772792,2022-07-20T16.36.12.792,0.340,1.524,-0.122,-0.427
1658327772802,2022-07-20T16.36.12.802,0.350,1.524,-0.061,-0.244
1658327772813,2022-07-20T16.36.12.813,0.361,1.037,-0.305,-0.244
1658327772823,2022-07-20T16.36.12.823,0.371,0.610,-0.671,-0.305
1658327772833,2022-07-20T16.36.12.833,0.381,0.427,-0.793,-0.122
1658327772843,2022-07-20T16.36.12.843,0.391,0.244,-0.854,0.000
1658327772852,2022-07-20T16.36.12.852,0.400,0.000,-0.854,0.061
1658327772862,2022-07-20T16.36.12.862,0.410,0.305,-0.854,0.122
1658327772873,2022-07-20T16.36.12.873,0.421,0.549,-0.793,0.122
1658327772883,2022-07-20T16.36.12.883,0.431,0.671,-0.732,-0.061
