epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1658327770552,2022-07-20T16.36.10.552,0.000,-1.053,-0.253,0.036
1658327770562,2022-07-20T16.36.10.562,0.010,-1.054,-0.253,0.034
1658327770572,2022-07-20T16.36.10.572,0.020,-1.049,-0.243,0.038
1658327770583,2022-07-20T16.36.10.583,0.031,-1.048,-0.237,0.039
1658327770593,2022-07-20T16.36.10.593,0.041,-1.047,-0.234,0.034
1658327770603,2022-07-20T16.36.10.603,0.051,-1.044,-0.235,0.034
1658327770612,2022-07-20T16.36.10.612,0.060,-1.039,-0.241,0.034
1658327770622,2022-07-20T16.36.10.622,0.070,-1.032,-0.245,0.032
1658327770633,2022-07-20T16.36.10.633,0.081,-1.028,-0.247,0.030
1658327770643,2022-07-20T16.36.10.643,0.091,-1.029,-0.246,0.027
1658327770653,2022-07-20T16.36.10.653,0.101,-1.034,-0.241,0.025
1658327770663,2022-07-20T16.36.10.663,0.111,-1.042,-0.237,0.028
1658327770672,2022-07-20T16.36.10.672,0.120,-1.042,-0.238,0.028
1658327770682,2022-07-20T16.36.10.682,0.130,-1.049,-0.238,0.025
1658327770693,2022-07-20T16.36.10.693,0.141,-1.054,-0.235,0.024
1658327770703,2022-07-20T16.36.10.703,0.151,-1.058,-0.236,0.027
1658327770713,2022-07-20T16.36.10.713,0.161,-1.054,-0.248,0.032
1658327770723,2022-07-20T16.36.10.723,0.171,-1.048,-0.249,0.031
1658327770734,2022-07-20T16.36.10.734,0.182,-1.043,-0.250,0.036
1658327770742,2022-07-20T16.36.10.742,0.190,-1.040,-0.244,0.035
1658327770753,2022-07-20T16.36.10.753,0.201,-1.039,-0.246,0.034
1658327770763,2022-07-20T16.36.10.763,0.211,-1.041,-0.247,0.034
1658327770773,2022-07-20T16.36.10.773,0.221,-1.042,-0.244,0.037
1658327770783,2022-07-20T16.36.10.783,0.231,-1.036,-0.242,0.031
1658327770794,2022-07-20T16.36.10.794,0.242,-1.033,-0.245,0.032
1658327770804,2022-07-20T16.36.10.804,0.252,-1.036,-0.245,0.037
1658327770813,2022-07-20T16.36.10.813,0.261,-1.041,-0.242,0.034
1658327770823,2022-07-20T16.36.10.823,0.271,-1.039,-0.241,0.032
1658327770833,2022-07-20T16.36.10.833,0.281,-1.041,-0.241,0.035
1658327770843,2022-07-20T16.36.10.843,0.291,-1.046,-0.238,0.034
1658327770854,2022-07-20T16.36.10.854,0.302,-1.050,-0.239,0.031
1658327770864,2022-07-20T16.36.10.864,0.312,-1.050,-0.246,0.030
1658327770873,2022-07-20T16.36.10.873,0.321,-1.046,-0.253,0.028
1658327770883,2022-07-20T16.36.10.883,0.331,-1.048,-0.251,0.042
1658327770893,2022-07-20T16.36.10.893,0.341,-1.040,-0.244,0.033
1658327770904,2022-07-20T16.36.10.904,0.352,-1.026,-0.240,0.010
1658327770914,2022-07-20T16.36.10.914,0.362,-1.034,-0.242,0.023
1658327770924,2022-07-20T16.36.10.924,0.372,-1.042,-0.248,0.026
1658327770934,2022-07-20T16.36.10.934,0.382,-1.036,-0.251,0.021
1658327770943,2022-07-20T16.36.10.943,0.391,-1.039,-0.251,0.027
1658327770953,2022-07-20T16.36.10.953,0.401,-1.040,-0.246,0.034
1658327770964,2022-07-20T16.36.10.964,0.412,-1.038,-0.243,0.027
1658327770974,2022-07-20T16.36.10.974,0.422,-1.036,-0.238,0.024
1658327770984,2022-07-20T16.36.10.984,0.432,-1.041,-0.238,0.026
1658327770994,2022-07-20T16.36.10.994,0.442,-1.044,-0.241,0.029
1658327771003,2022-07-20T16.36.11.003,0.451,-1.046,-0.241,0.033
1658327771013,2022-07-20T16.36.11.013,0.461,-1.042,-0.244,0.028
1658327771024,2022-07-20T16.36.11.024,0.472,-1.042,-0.247,0.029
1658327771034,2022-07-20T16.36.11.034,0.482,-1.050,-0.248,0.034
1658327771044,2022-07-20T16.36.11.044,0.492,-1.047,-0.247,0.032
1658327771054,2022-07-20T16.36.11.054,0.502,-1.043,-0.247,0.038
1658327771065,2022-07-20T16.36.11.065,0.513,-1.043,-0.247,0.036
1658327771073,2022-07-20T16.36.11.073,0.521,-1.043,-0.240,0.032
1658327771084,2022-07-20T16.36.11.084,0.532,-1.046,-0.238,0.036
1658327771094,2022-07-20T16.36.11.094,0.542,-1.042,-0.241,0.035
1658327771104,2022-07-20T16.36.11.104,0.552,-1.042,-0.240,0.034
1658327771114,2022-07-20T16.36.11.114,0.562,-1.044,-0.242,0.034
1658327771125,2022-07-20T16.36.11.125,0.573,-1.038,-0.246,0.028
1658327771134,2022-07-20T16.36.11.134,0.582,-1.039,-0.248,0.032
1658327771144,2022-07-20T16.36.11.144,0.592,-1.042,-0.244,0.029
1658327771154,2022-07-20T16.36.11.154,0.602,-1.043,-0.240,0.029
1658327771164,2022-07-20T16.36.11.164,0.612,-1.045,-0.237,0.031
1658327771175,2022-07-20T16.36.11.175,0.623,-1.048,-0.234,0.027
1658327771185,2022-07-20T16.36.11.185,0.633,-1.048,-0.243,0.031
1658327771194,2022-07-20T16.36.11.194,0.642,-1.042,-0.246,0.029
1658327771204,2022-07-20T16.36.11.204,0.652,-1.044,-0.244,0.032
1658327771214,2022-07-20T16.36.11.214,0.662,-1.041,-0.243,0.031
1658327771224,2022-07-20T16.36.11.224,0.672,-1.041,-0.247,0.031
1658327771235,2022-07-20T16.36.11.235,0.683,-1.037,-0.245,0.034
1658327771245,2022-07-20T16.36.11.245,0.693,-1.035,-0.245,0.035
1658327771255,2022-07-20T16.36.11.255,0.703,-1.037,-0.245,0.032
1658327771264,2022-07-20T16.36.11.264,0.712,-1.046,-0.243,0.034
1658327771274,2022-07-20T16.36.11.274,0.722,-1.052,-0.240,0.035
1658327771284,2022-07-20T16.36.11.284,0.732,-1.044,-0.242,0.032
1658327771295,2022-07-20T16.36.11.295,0.743,-1.043,-0.244,0.030
1658327771305,2022-07-20T16.36.11.305,0.753,-1.043,-0.246,0.032
1658327771315,2022-07-20T16.36.11.315,0.763,-1.038,-0.249,0.034
1658327771324,2022-07-20T16.36.11.324,0.772,-1.036,-0.250,0.032
1658327771334,2022-07-20T16.36.11.334,0.782,-1.040,-0.249,0.033
