epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1658327769033,2022-07-20T16.36.09.033,0.000,-0.951,0.307,-0.030
1658327769043,2022-07-20T16.36.09.043,0.010,-0.965,0.308,-0.030
1658327769053,2022-07-20T16.36.09.053,0.020,-0.969,0.309,-0.021
1658327769064,2022-07-20T16.36.09.064,0.031,-0.966,0.315,-0.017
1658327769072,2022-07-20T16.36.09.072,0.039,-0.961,0.322,-0.014
1658327769083,2022-07-20T16.36.09.083,0.050,-0.959,0.327,-0.008
1658327769093,2022-07-20T16.36.09.093,0.060,-0.962,0.329,-0.006
1658327769103,2022-07-20T16.36.09.103,0.070,-0.964,0.331,-0.007
1658327769112,2022-07-20T16.36.09.112,0.079,-0.972,0.337,-0.009
1658327769122,2022-07-20T16.36.09.122,0.089,-0.971,0.343,-0.011
1658327769133,2022-07-20T16.36.09.133,0.100,-0.971,0.343,-0.009
1658327769143,2022-07-20T16.36.09.143,0.110,-0.969,0.338,-0.003
1658327769152,2022-07-20T16.36.09.152,0.119,-0.971,0.337,0.003
1658327769162,2022-07-20T16.36.09.162,0.129,-0.969,0.336,0.004
1658327769172,2022-07-20T16.36.09.172,0.139,-0.965,0.333,0.003
1658327769181,2022-07-20T16.36.09.181,0.148,-0.960,0.332,-0.003
1658327769191,2022-07-20T16.36.09.191,0.158,-0.958,0.330,-0.007
1658327769201,2022-07-20T16.36.09.201,0.168,-0.958,0.326,-0.008
1658327769212,2022-07-20T16.36.09.212,0.179,-0.963,0.326,-0.009
1658327769220,2022-07-20T16.36.09.220,0.187,-0.967,0.332,-0.012
1658327769231,2022-07-20T16.36.09.231,0.198,-0.967,0.336,-0.016
1658327769241,2022-07-20T16.36.09.241,0.208,-0.965,0.337,-0.018
1658327769251,2022-07-20T16.36.09.251,0.218,-0.968,0.336,-0.024
1658327769260,2022-07-20T16.36.09.260,0.227,-0.971,0.335,-0.024
1658327769270,2022-07-20T16.36.09.270,0.237,-0.969,0.340,-0.029
1658327769280,2022-07-20T16.36.09.280,0.247,-0.966,0.339,-0.033
1658327769289,2022-07-20T16.36.09.289,0.256,-0.960,0.335,-0.029
1658327769300,2022-07-20T16.36.09.300,0.267,-0.965,0.334,-0.018
1658327769310,2022-07-20T16.36.09.310,0.277,-0.964,0.332,-0.016
1658327769320,2022-07-20T16.36.09.320,0.287,-0.955,0.335,-0.016
1658327769329,2022-07-20T16.36.09.329,0.296,-0.956,0.329,-0.014
1658327769339,2022-07-20T16.36.09.339,0.306,-0.957,0.326,-0.016
1658327769349,2022-07-20T16.36.09.349,0.316,-0.953,0.325,-0.017
1658327769360,2022-07-20T16.36.09.360,0.327,-0.956,0.323,-0.022
1658327769368,2022-07-20T16.36.09.368,0.335,-0.958,0.321,-0.026
1658327769379,2022-07-20T16.36.09.379,0.346,-0.963,0.314,-0.026
1658327769389,2022-07-20T16.36.09.389,0.356,-0.968,0.314,-0.017
1658327769399,2022-07-20T16.36.09.399,0.366,-0.973,0.316,-0.015
1658327769408,2022-07-20T16.36.09.408,0.375,-0.981,0.321,-0.013
1658327769418,2022-07-20T16.36.09.418,0.385,-0.982,0.322,-0.005
1658327769428,2022-07-20T16.36.09.428,0.395,-0.979,0.322,0.000
1658327769437,2022-07-20T16.36.09.437,0.404,-0.976,0.325,0.000
1658327769447,2022-07-20T16.36.09.447,0.414,-0.971,0.327,-0.001
1658327769458,2022-07-20T16.36.09.458,0.425,-0.967,0.327,-0.004
1658327769468,2022-07-20T16.36.09.468,0.435,-0.963,0.330,-0.008
1658327769477,2022-07-20T16.36.09.477,0.444,-0.960,0.329,-0.009
1658327769487,2022-07-20T16.36.09.487,0.454,-0.956,0.330,-0.014
1658327769497,2022-07-20T16.36.09.497,0.464,-0.953,0.332,-0.020
1658327769508,2022-07-20T16.36.09.508,0.475,-0.947,0.328,-0.018
1658327769516,2022-07-20T16.36.09.516,0.483,-0.946,0.325,-0.018
1658327769527,2022-07-20T16.36.09.527,0.494,-0.950,0.328,-0.021
1658327769537,2022-07-20T16.36.09.537,0.504,-0.958,0.329,-0.023
1658327769547,2022-07-20T16.36.09.547,0.514,-0.965,0.333,-0.024
1658327769556,2022-07-20T16.36.09.556,0.523,-0.969,0.331,-0.024
1658327769566,2022-07-20T16.36.09.566,0.533,-0.966,0.329,-0.028
