epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1661262529970,2022-08-23T15.48.49.970,0.000,0.000,-0.244,-0.061
1661262529981,2022-08-23T15.48.49.981,0.011,-0.061,-0.183,-0.061
1661262529991,2022-08-23T15.48.49.991,0.021,-0.183,-0.061,0.061
1661262530001,2022-08-23T15.48.50.001,0.031,-0.061,-0.061,0.000
1661262530010,2022-08-23T15.48.50.010,0.040,-0.061,-0.061,0.000
1661262530020,2022-08-23T15.48.50.020,0.050,-0.061,-0.061,0.061
1661262530030,2022-08-23T15.48.50.030,0.060,-0.244,0.000,0.000
1661262530041,2022-08-23T15.48.50.041,0.071,-0.183,-0.061,0.000
1661262530051,2022-08-23T15.48.50.051,0.081,-0.061,0.000,0.061
1661262530061,2022-08-23T15.48.50.061,0.091,0.061,-0.061,0.061
1661262530070,2022-08-23T15.48.50.070,0.100,-0.061,-0.061,0.000
1661262530080,2022-08-23T15.48.50.080,0.110,-0.061,-0.061,0.000
1661262530090,2022-08-23T15.48.50.090,0.120,-0.122,0.000,0.061
1661262530101,2022-08-23T15.48.50.101,0.131,-0.122,-0.061,0.000
1661262530111,2022-08-23T15.48.50.111,0.141,-0.061,-0.061,0.000
1661262530121,2022-08-23T15.48.50.121,0.151,-0.061,-0.061,0.061
1661262530131,2022-08-23T15.48.50.131,0.161,-0.122,-0.122,0.061
1661262530140,2022-08-23T15.48.50.140,0.170,-0.122,-0.061,0.061
1661262530150,2022-08-23T15.48.50.150,0.180,0.000,-0.061,0.000
1661262530161,2022-08-23T15.48.50.161,0.191,-0.122,-0.061,0.000
1661262530171,2022-08-23T15.48.50.171,0.201,-0.122,-0.061,0.061
1661262530181,2022-08-23T15.48.50.181,0.211,-0.122,0.000,0.061
1661262530191,2022-08-23T15.48.50.191,0.221,0.000,0.000,0.061
1661262530200,2022-08-23T15.48.50.200,0.230,-0.061,0.000,0.122
1661262530211,2022-08-23T15.48.50.211,0.241,-0.061,-0.122,0.122
1661262530221,2022-08-23T15.48.50.221,0.251,-0.061,-0.061,0.061
1661262530231,2022-08-23T15.48.50.231,0.261,-0.122,-0.122,0.122
1661262530241,2022-08-23T15.48.50.241,0.271,-0.122,-0.122,0.000
1661262530252,2022-08-23T15.48.50.252,0.282,-0.122,-0.061,0.000
1661262530262,2022-08-23T15.48.50.262,0.292,-0.061,-0.061,0.061
1661262530271,2022-08-23T15.48.50.271,0.301,-0.183,-0.061,0.061
1661262530281,2022-08-23T15.48.50.281,0.311,-0.183,-0.183,0.061
1661262530291,2022-08-23T15.48.50.291,0.321,-0.061,-0.061,0.061
1661262530301,2022-08-23T15.48.50.301,0.331,-0.061,-0.061,0.061
1661262530312,2022-08-23T15.48.50.312,0.342,-0.183,-0.061,0.000
1661262530322,2022-08-23T15.48.50.322,0.352,-0.122,-0.122,0.000
1661262530331,2022-08-23T15.48.50.331,0.361,0.000,-0.061,0.061
1661262530341,2022-08-23T15.48.50.341,0.371,-0.061,-0.061,0.000
1661262530351,2022-08-23T15.48.50.351,0.381,-0.061,-0.122,0.061
1661262530361,2022-08-23T15.48.50.361,0.391,-0.061,-0.122,0.061
1661262530372,2022-08-23T15.48.50.372,0.402,-0.183,-0.061,0.061
1661262530382,2022-08-23T15.48.50.382,0.412,-0.122,0.000,0.000
1661262530392,2022-08-23T15.48.50.392,0.422,0.000,-0.061,0.061
1661262530401,2022-08-23T15.48.50.401,0.431,0.000,-0.122,0.000
1661262530411,2022-08-23T15.48.50.411,0.441,-0.122,-0.122,0.000
1661262530421,2022-08-23T15.48.50.421,0.451,-0.061,-0.061,0.061
1661262530432,2022-08-23T15.48.50.432,0.462,-0.061,0.000,0.061
1661262530442,2022-08-23T15.48.50.442,0.472,-0.061,-0.061,0.061
1661262530452,2022-08-23T15.48.50.452,0.482,-0.061,0.000,0.000
1661262530462,2022-08-23T15.48.50.462,0.492,-0.183,-0.061,0.000
1661262530471,2022-08-23T15.48.50.471,0.501,-0.183,-0.061,0.061
1661262530482,2022-08-23T15.48.50.482,0.512,-0.061,-0.061,0.061
1661262530492,2022-08-23T15.48.50.492,0.522,0.000,0.000,0.061
1661262530502,2022-08-23T15.48.50.502,0.532,-0.122,-0.122,0.061
1661262530512,2022-08-23T15.48.50.512,0.542,-0.122,-0.122,0.000
1661262530523,2022-08-23T15.48.50.523,0.553,-0.061,-0.122,0.122
1661262530531,2022-08-23T15.48.50.531,0.561,-0.122,-0.061,0.061
1661262530542,2022-08-23T15.48.50.542,0.572,-0.122,-0.122,0.061
1661262530552,2022-08-23T15.48.50.552,0.582,-0.061,-0.061,0.061
1661262530562,2022-08-23T15.48.50.562,0.592,0.000,-0.061,0.061
1661262530572,2022-08-23T15.48.50.572,0.602,0.000,-0.061,0.000
